from_totally_fake_account,to_randomly_generated_account,total_amount,frequency
15315.0,38905,43.0,7
15315.0,40735,100.5,18
15315.0,60971,4.5,1
15315.0,62106,161.0,28
15315.0,64939,46.0,8
15315.0,83127,98.5,16
15315.0,88029,28.5,4
15315.0,93177,188.95,35
15320.0,12857,214.11,34
15320.0,16348,161.5,23
15320.0,20381,24.5,3
15320.0,22148,179.5,28
15320.0,25362,96.15,19
15320.0,3269,40.5,8
15320.0,39179,132.5,18
15320.0,44439,144.79,24
15320.0,52621,87.0,13
15320.0,57562,34.7,7
15320.0,62069,70.0,11
15320.0,71531,103.0,16
15320.0,73392,79.10000000000002,15
15320.0,75197,48.0,9
15320.0,7940,122.5,23
15320.0,95024,85.0,12
15320.0,98062,4019.76,62
15343.0,100064,303.65,41
15343.0,14673,4131.56,38
15343.0,15086,45.0,8
15343.0,19429,78.5,13
15343.0,23400,168.88,26
15343.0,33065,58.5,10
15343.0,45275,104.5,19
15343.0,5445,102.95,16
15343.0,64639,89.05,18
15343.0,68226,297.07000000000005,47
15343.0,74805,193.94,29
15343.0,79920,75.8,15
15347.0,100662,108.75,20
15347.0,1086,104.45,10
15347.0,22550,220.5,37
15347.0,30132,92.5,12
15347.0,33266,4292.9,71
15347.0,52704,185.2,30
15347.0,5522,89.95,17
15347.0,56873,229.15,40
15347.0,58813,79.5,14
15347.0,64099,210.3,36
15347.0,65786,78.5,11
15347.0,67856,400.65,66
15347.0,87459,154.45,28
15347.0,99215,114.15,20
15350.0,11329,56.5,9
15350.0,17398,73.0,13
15350.0,18928,75.0,14
15350.0,23639,17335.0,12
15350.0,2486,99.0,18
15350.0,24968,165.4,30
15350.0,33124,50.0,1
15350.0,33991,166.4,27
15350.0,38748,556.3999999999999,99
15350.0,40118,51.05,11
15350.0,42360,56.4,11
15350.0,43463,51.0,10
15350.0,50452,378.19999999999993,65
15350.0,53826,199.5,34
15350.0,58160,161.5,25
15350.0,65655,74.5,13
15350.0,73190,87.0,11
15350.0,78603,98.0,18
15350.0,80140,49.5,9
15350.0,80808,87.85,18
15350.0,86229,209.5,33
15350.0,86326,248.3,44
15350.0,87175,31.0,5
15353.0,10389,85.5,14
15353.0,12692,155.65,26
15353.0,16264,114.5,21
15353.0,24723,106.3,20
15353.0,25014,124.5,20
15353.0,32619,34.5,6
15353.0,33124,100.0,2
15353.0,36316,397.0,65
15353.0,39555,174.15,22
15353.0,43522,211.5,34
15353.0,4875,47.0,9
15353.0,49397,11.0,2
15353.0,50990,216.0,36
15353.0,53823,80.0,12
15353.0,54512,31.0,6
15353.0,62746,383.1,65
15353.0,68570,14.5,2
15353.0,69096,267.0,40
15353.0,75319,49.5,9
15353.0,75876,17.5,3
15353.0,77875,32.0,7
15353.0,78334,16010.0,12
15353.0,92367,228.0,39
15354.0,22225,44.2,7
15354.0,31948,271.5,42
15354.0,43861,132.0,19
15354.0,61487,99.15,18
15354.0,64835,113.0,19
15354.0,77301,183.5,30
15354.0,8507,12283.5,49
15354.0,91522,196.0,35
15377.0,15086,224.52,32
15377.0,15892,23.0,4
15377.0,20966,252.21,30
15377.0,23754,95.85,17
15377.0,26507,31.5,6
15377.0,26992,57.0,9
15377.0,27639,83.25,16
15377.0,30040,81.0,11
15377.0,32016,97.25,18
15377.0,33065,139.0,23
15377.0,37155,28.5,4
15377.0,39906,10.0,2
15377.0,45059,43.5,6
15377.0,45275,86.5,15
15377.0,48997,91.5,14
15377.0,62598,276.17,31
15377.0,71556,4263.93,42
15377.0,73478,39.2,8
15377.0,75857,69.0,10
15377.0,78547,64.05,11
15377.0,8232,70.65,13
15377.0,95818,132.75,22
15381.0,100169,100.0,16
15381.0,14362,88.5,15
15381.0,14601,283.5,47
15381.0,59649,95.0,18
15381.0,61532,149.5,24
15381.0,78115,500.5,83
15381.0,88345,161.5,18
15381.0,8891,608.4999999999999,104
15381.0,93747,145.0,23
15382.0,100803,119.5,20
15382.0,13225,319.22,35
15382.0,17580,296.6400000000001,36
15382.0,25513,210.0,32
15382.0,30496,118.5,22
15382.0,32653,114.0,17
15382.0,35427,130.5,22
15382.0,5198,207.61,32
15382.0,56730,82.5,12
15382.0,61341,93.95,19
15382.0,62054,104.0,19
15382.0,63669,273.46000000000004,35
15382.0,74341,257.29,28
15382.0,80261,51.0,7
15382.0,82199,117.0,18
15382.0,92030,73.5,11
15382.0,94012,15.5,3
15382.0,96653,14170.0,12
15387.0,11505,86.0,12
15387.0,11729,70.5,12
15387.0,17398,510.29999999999984,92
15387.0,33124,50.0,1
15387.0,40118,55.45,9
15387.0,42360,58.0,10
15387.0,56983,94.0,15
15387.0,58160,175.0,28
15387.0,63253,30.5,5
15387.0,73190,75.5,11
15387.0,75231,96.5,15
15387.0,7539,98.0,18
15387.0,79779,146.25,15
15387.0,79971,69.7,13
15387.0,80808,68.45,10
15387.0,82931,52.5,9
15387.0,83909,233.0,41
15387.0,95970,143.05,26
15387.0,98443,47.0,6
15387.0,99496,18995.0,12
15393.0,12430,37.0,6
15393.0,20499,38.0,5
15393.0,21101,5273.109999999999,58
15393.0,21368,47.0,8
15393.0,22440,44.0,8
15393.0,27285,31.95,7
15393.0,39993,128.65,24
15393.0,40118,58.85,11
15393.0,49145,69.5,12
15393.0,50723,226.6,41
15393.0,52054,41.5,8
15393.0,54941,9.0,2
15393.0,60888,111.9,19
15393.0,62243,155.9,23
15393.0,63404,17.5,3
15393.0,82707,131.24,20
15393.0,91964,25.5,4
15393.0,97768,41.5,8
15400.0,14593,8.799999999999997,4
15400.0,20912,99.0,15
15400.0,39417,9.25,4
15400.0,41613,46.5,9
15400.0,42490,70.5,13
15400.0,60940,3.25,2
15400.0,62274,458.55999999999983,18
15400.0,67726,53.5,8
15400.0,69459,1.95,1
15400.0,70146,29.0,5
15400.0,7235,65.0,10
15400.0,81399,9.24,1
15400.0,85342,24.0,4
15400.0,88025,5692.959999999999,45
15400.0,89770,115.5,20
15418.0,16802,51.5,8
15418.0,1784,35.0,7
15418.0,19147,106.5,19
15418.0,23119,50.18,7
15418.0,44683,81.4,17
15418.0,46472,356.75,60
15418.0,75868,85.5,13
15418.0,76710,371.24,56
15418.0,80186,7164.0,64
15418.0,84432,67.5,12
15418.0,92367,114.5,19
15418.0,94547,72.0,12
15424.0,1099,168.05,27
15424.0,11406,106.15,22
15424.0,2069,119.5,18
15424.0,25413,75.0,13
15424.0,33124,100.0,2
15424.0,36757,188.41,26
15424.0,37468,139.0,22
15424.0,41487,112.86,12
15424.0,43485,194.75,34
15424.0,47502,32.5,5
15424.0,49918,127.66,21
15424.0,58372,59.0,11
15424.0,63767,3309.9,40
15424.0,67138,54.0,9
15424.0,78790,23.5,4
15424.0,80915,359.2399999999999,50
15424.0,87633,55.0,8
15424.0,89585,47.5,8
15431.0,22085,444.96,54
15431.0,23056,23.5,4
15431.0,24500,48.6,10
15431.0,30475,310.82,37
15431.0,37186,73.5,13
15431.0,3868,48.0,8
15431.0,48413,233.46,28
15431.0,50054,15.0,2
15431.0,56576,30.5,5
15431.0,58449,97.5,18
15431.0,59923,24.0,4
15431.0,68163,2656.570000000001,42
15431.0,77512,49.0,7
15431.0,84740,92.5,14
15431.0,87438,27.5,5
15431.0,8930,53.0,10
15431.0,91626,369.85,49
15431.0,95710,112.5,19
15438.0,13851,171.0,30
15438.0,16532,216.0,30
15438.0,18495,46.5,6
15438.0,23733,37.5,6
15438.0,33124,100.0,2
15438.0,34204,63.0,12
15438.0,3548,233.7,37
15438.0,43868,217.04,37
15438.0,49017,121.7,22
15438.0,49433,26.5,5
15438.0,57993,108.5,19
15438.0,58321,133.45,23
15438.0,60188,44.5,7
15438.0,60960,35.5,7
15438.0,72657,78.69999999999997,16
15438.0,75362,58.5,10
15438.0,86577,2733.600000000001,39
15438.0,89599,224.15,38
15444.0,11151,138.75,23
15444.0,15315,92.5,16
15444.0,21593,105.2,18
15444.0,22087,36.5,6
15444.0,24131,80.0,13
15444.0,26197,86.4,16
15444.0,2984,82.5,7
15444.0,33124,50.0,1
15444.0,38905,268.95,44
15444.0,40331,47.0,9
15444.0,40735,72.0,9
15444.0,43681,3774.77,43
15444.0,57565,449.05,40
15444.0,62106,478.53,56
15444.0,63503,115.45,18
15444.0,72646,109.75,21
15444.0,80512,169.15,25
15444.0,90512,95.5,16
15444.0,93177,54.5,9
15444.0,95320,402.27,51
15454.0,100727,33.0,5
15454.0,15250,41.5,8
15454.0,21398,75.5,13
15454.0,30302,71.0,13
15454.0,34887,55.5,8
15454.0,35669,84.5,14
15454.0,38232,125.5,19
15454.0,50017,45.0,8
15454.0,52611,57.5,10
15454.0,5322,127.35,23
15454.0,56543,64.5,11
15454.0,5919,132.5,24
15454.0,63232,68.5,11
15454.0,64973,88.5,13
15454.0,65691,206.35,34
15454.0,75079,107.9,21
15454.0,85519,141.5,24
15454.0,86530,29.0,5
15454.0,87073,15765.0,12
15454.0,91788,26.5,5
15460.0,22741,326.7999999999999,56
15460.0,33124,50.0,1
15460.0,41302,15595.0,12
15460.0,4269,215.0,33
15460.0,48872,283.0,47
15460.0,50498,133.4,21
15460.0,50874,197.9,34
15460.0,52186,139.85000000000002,23
15460.0,9337,59.5,11
15468.0,18881,106.15,17
15468.0,1980,32.0,5
15468.0,29736,23.5,4
15468.0,50172,219.45,38
15468.0,53382,3969.5,33
15468.0,60565,112.4,21
15468.0,64076,174.5,28
15468.0,64354,37.5,7
15468.0,65350,22.0,4
15468.0,66142,24.0,4
15468.0,76581,35.0,6
15468.0,78110,43.90000000000001,11
15468.0,80211,162.0,26
15468.0,85883,165.05,27
15468.0,86456,75.7,12
15471.0,31056,154.4,26
15471.0,32790,92.5,16
15471.0,59553,293.75,56
15471.0,61751,713.5,107
15471.0,70691,295.6,50
15471.0,78470,333.95,56
15471.0,79550,153.10000000000005,26
15483.0,1093,66.5,12
15483.0,23639,18280.0,12
15483.0,50293,109.6,20
15483.0,58160,92.5,17
15483.0,65655,112.5,16
15483.0,80808,38.6,9
15483.0,80985,100.0,16
15483.0,92428,631.5,102
15483.0,97790,78.0,13
15501.0,31907,117.9,22
15501.0,40966,66.0,11
15501.0,48525,543.0699999999998,63
15501.0,64904,1194.88,148
15501.0,7519,72.25,13
15515.0,12630,54.0,10
15515.0,1770,100.5,15
15515.0,25361,74.7,10
15515.0,29926,699.86,72
15515.0,29984,14050.0,11
15515.0,3211,97.95,18
15515.0,35535,215.5,36
15515.0,39399,35.95,7
15515.0,59887,130.2,20
15515.0,86656,898.0799999999998,88
15515.0,94958,101.0,16
15515.0,99456,407.44,47
15538.0,16272,5968.44,25
15538.0,18702,12.4,6
15538.0,2387,3.9,2
15538.0,26173,105.08,12
15538.0,27475,4.75,2
15538.0,32217,4.1,2
15538.0,33124,50.0,1
15538.0,45079,79.5,14
15538.0,4818,58.05,13
15538.0,60048,2.2,1
15538.0,62727,4.8,2
15538.0,72646,2.65,1
15538.0,79254,52.5,7
15538.0,88633,94.4,19
15550.0,100493,61.5,10
15550.0,2386,76.0,14
15550.0,35463,174.5,27
15550.0,44312,119.65,21
15550.0,4717,109.5,21
15550.0,67666,48.5,8
15550.0,68455,13137.3,217
15550.0,69840,6.5,1
15550.0,84632,56.5,12
15550.0,85534,143.0,20
15550.0,88281,27.0,5
15550.0,92301,231.1,43
15550.0,96221,65.4,12
15575.0,1238,99.0,16
15575.0,15471,15800.0,12
15575.0,1623,30.5,5
15575.0,20724,145.45,22
15575.0,25646,55.5,8
15575.0,30071,51.5,9
15575.0,38372,25.5,4
15575.0,47936,167.0,30
15575.0,51342,68.0,11
15575.0,52800,37.5,7
15575.0,55321,60.5,10
15575.0,62378,63.0,11
15575.0,75016,291.25,50
15575.0,78700,234.65,40
15575.0,91749,60.0,11
15585.0,17311,181.5,26
15585.0,18410,95.5,15
15585.0,2585,91.0,15
15585.0,32858,17255.0,12
15585.0,33317,65.75,12
15585.0,35242,50.0,6
15585.0,42202,115.5,17
15585.0,51180,861.28,140
15585.0,5569,70.0,13
15585.0,57509,196.95,32
15585.0,58967,79.5,13
15585.0,86032,175.04999999999995,31
15585.0,91627,207.4,35
15585.0,92852,106.75,21
15585.0,9533,52.0,10
15585.0,95467,127.0,22
15585.0,96414,136.65,23
15597.0,100568,183.5,31
15597.0,14662,61.95,8
15597.0,21307,176.0,29
15597.0,25032,232.0,41
15597.0,49824,188.95,33
15597.0,65538,350.5,57
15597.0,67885,84.5,15
15597.0,73344,424.07,67
15597.0,76338,138.5,17
15597.0,76856,6287.15,70
15597.0,77237,108.7,21
15597.0,98332,89.0,14
15613.0,14410,5883.46,105
15613.0,17938,108.5,18
15613.0,23329,86.95,14
15613.0,39180,125.5,20
15613.0,44912,62.0,10
15613.0,48217,104.5,19
15613.0,52923,208.35,34
15613.0,73858,63.5,11
15613.0,76757,112.05,20
15613.0,84438,72.65,14
15613.0,89440,66.35,13
15613.0,96107,208.65,38
15618.0,27207,7225.45,62
15618.0,33661,167.5,28
15618.0,34083,37.0,6
15618.0,37260,178.8,30
15618.0,37389,67.65,13
15618.0,39676,91.5,14
15618.0,5280,82.5,14
15618.0,78430,56.5,9
15618.0,85593,192.5,28
15618.0,91626,99.0,17
15618.0,94591,302.0,49
15618.0,99624,73.65,12
15629.0,18107,90.5,15
15629.0,30320,383.5,62
15629.0,30475,64.94999999999999,12
15629.0,33124,50.0,1
15629.0,33335,111.5,18
15629.0,37186,75.0,12
15629.0,56543,5355.9,52
15629.0,62014,173.5,30
15629.0,65669,75.0,13
15629.0,70435,193.5,29
15629.0,77512,73.0,12
15629.0,81807,90.5,17
15629.0,83511,187.45,35
15629.0,91626,57.5,11
15629.0,95710,69.5,10
15633.0,16739,37.5,7
15633.0,27149,118.0,19
15633.0,35746,278.45,39
15633.0,39969,89.0,14
15633.0,47358,106.0,18
15633.0,49808,21.5,4
15633.0,52580,29.0,5
15633.0,5300,28.0,4
15633.0,53730,98.15,18
15633.0,61174,292.46,40
15633.0,63790,35.5,7
15633.0,67349,34.5,5
15633.0,69162,79.0,14
15633.0,72683,59.5,10
15633.0,74306,3760.04,40
15633.0,74853,28.0,4
15633.0,82073,45.0,7
15633.0,8253,61.0,10
15633.0,88009,28.0,5
15633.0,88084,25.5,5
15663.0,14559,48.0,9
15663.0,14878,148.0,23
15663.0,18168,231.65,38
15663.0,19335,107.45,21
15663.0,23151,87.5,13
15663.0,25631,88.5,15
15663.0,29448,165.65,28
15663.0,40679,85.55,15
15663.0,67966,45.5,7
15663.0,69815,162.0,27
15663.0,74306,66.0,11
15663.0,76874,37.5,6
15663.0,85311,49.0,8
15663.0,86008,17400.0,12
15663.0,98219,511.75,79
15663.0,98569,101.0,18
15711.0,17944,40.5,7
15711.0,23607,184.0,33
15711.0,29729,92.5,17
15711.0,30397,107.5,18
15711.0,3093,235.44,18
15711.0,33124,50.0,1
15711.0,34461,150.5,24
15711.0,53100,101.5,16
15711.0,55588,9420.07,51
15711.0,58891,116.45,21
15711.0,73562,64.0,8
15711.0,79947,165.0,26
15711.0,8744,179.0,32
15711.0,90400,34.0,6
15711.0,97515,102.0,16
15717.0,6234,21471.55,35
15717.0,6282,189.7,32
15717.0,94177,117.5,18
15717.0,94383,129.0,22
15730.0,14326,4863.15,61
15730.0,29536,69.5,11
15730.0,33124,50.0,1
15730.0,35708,247.0,42
15730.0,37807,103.5,19
15730.0,38398,132.01999999999998,20
15730.0,57854,138.9,23
15730.0,62601,181.5,29
15730.0,63548,23.0,4
15730.0,67467,83.0,16
15730.0,72586,221.65000000000003,44
15730.0,86146,9.0,1
15730.0,91202,189.0,36
15730.0,99092,130.0,22
15737.0,15004,80.5,12
15737.0,26599,127.5,22
15737.0,35130,63.0,11
15737.0,4243,168.5,26
15737.0,46911,63.5,11
15737.0,47810,36.5,6
15737.0,50854,174.20000000000005,32
15737.0,51590,18145.0,12
15737.0,57445,232.0,40
15737.0,60910,89.5,13
15737.0,71257,67.5,13
15737.0,73393,140.0,21
15737.0,75944,197.5,31
15737.0,77556,39.0,8
15737.0,77775,241.5,38
15737.0,82853,59.0,8
15737.0,89773,149.9,28
15737.0,93624,45.5,6
15737.0,98837,111.0,18
15738.0,100735,2.65,1
15738.0,14845,2.2,1
15738.0,22085,44.5,8
15738.0,24500,39.0,6
15738.0,25125,88.5,16
15738.0,25915,27.75,6
15738.0,30320,65.0,11
15738.0,30475,95.0,12
15738.0,33335,101.65,17
15738.0,56405,62.0,10
15738.0,58449,40.0,7
15738.0,70494,27.0,4
15738.0,76612,4.35,2
15738.0,84931,3125.0,23
15738.0,87438,37.5,6
15788.0,10130,405.5,69
15788.0,14493,99.5,15
15788.0,1799,16385.0,12
15788.0,22499,121.55,22
15788.0,23951,54.5,7
15788.0,25225,61.5,10
15788.0,37145,99.5,15
15788.0,3760,79.5,14
15788.0,4313,70.7,14
15788.0,5219,138.05,23
15788.0,53797,80.0,14
15788.0,61037,109.5,20
15788.0,63284,163.9,28
15788.0,69369,21.0,4
15788.0,80767,77.5,14
15788.0,84110,100.55,17
15788.0,98861,279.5,40
15788.0,99600,114.5,20
15823.0,16509,57.0,8
15823.0,23746,90.0,16
15823.0,37422,49.0,8
15823.0,3905,5.1,2
15823.0,43524,20707.34,34
15823.0,45096,20.5,4
15823.0,47631,148.5,25
15823.0,63290,94.0,14
15823.0,74305,5.05,2
15829.0,11151,191.9,32
15829.0,24131,95.5,9
15829.0,33124,50.0,1
15829.0,40331,126.65,21
15829.0,48325,169.5,33
15829.0,60504,460.5,80
15829.0,65178,317.5,58
15829.0,8327,81.2,13
15829.0,83984,463.65,81
15829.0,96514,3612.5,72
15838.0,14840,61.0,11
15838.0,22425,115.45,18
15838.0,25919,32.5,6
15838.0,29600,91.5,16
15838.0,33124,50.0,1
15838.0,37555,26.5,5
15838.0,44702,37.0,7
15838.0,46396,7944.51,30
15838.0,62077,9.5,2
15838.0,64011,88.15,18
15838.0,67382,82.5,13
15838.0,70709,121.05,20
15838.0,83741,208.05,34
15838.0,85062,51.5,8
15838.0,86885,38.0,6
15838.0,91963,72.5,10
15838.0,95802,20.5,3
15867.0,100261,67.96000000000001,10
15867.0,14634,119.0,21
15867.0,16724,94.0,15
15867.0,24967,9.0,2
15867.0,26146,76.0,13
15867.0,28658,285.5,52
15867.0,29926,123.0,20
15867.0,38433,165.5,28
15867.0,39690,62.0,11
15867.0,4840,323.2,57
15867.0,50343,16.0,3
15867.0,52272,76.5,12
15867.0,53066,40.55,8
15867.0,67338,110.0,16
15867.0,6940,97.6,17
15867.0,7446,45.5,6
15867.0,84070,73.0,11
15867.0,84136,146.64999999999995,24
15867.0,84905,16.0,3
15867.0,86819,21101.700000000004,44
15867.0,90980,87.0,15
15867.0,98065,42.0,8
15867.0,9925,12.0,2
15880.0,14865,129.0,24
15880.0,17773,86.5,15
15880.0,24475,235.25,38
15880.0,38646,4734.9000000000015,49
15880.0,4741,33.0,6
15880.0,53764,62.0,9
15880.0,57764,190.8,38
15880.0,60562,31.5,6
15880.0,61923,167.5,27
15880.0,63256,132.0,24
15880.0,7417,122.3,23
15880.0,82816,66.65,9
15880.0,85296,37.48,5
15880.0,99939,10.5,2
15896.0,10000,283.0,47
15896.0,20801,99.05,19
15896.0,23387,38.0,8
15896.0,28620,5230.96,49
15896.0,33124,50.0,1
15896.0,3347,7.5,3
15896.0,33617,222.05,37
15896.0,34123,52.0,7
15896.0,42400,13.0,2
15896.0,44408,83.5,13
15896.0,46969,101.84,11
15896.0,48826,14.0,3
15896.0,48950,80.5,12
15896.0,5277,33.5,7
15896.0,54397,328.9000000000001,58
15896.0,73017,47.5,9
15896.0,74564,32.5,5
15896.0,76847,38.0,7
15896.0,79147,110.05,20
15911.0,18438,86.5,15
15911.0,19086,322.5,53
15911.0,27700,88.0,15
15911.0,2941,165.0,25
15911.0,30968,43.0,7
15911.0,3657,65.8,14
15911.0,45219,38.55,6
15911.0,46993,32.0,5
15911.0,50316,80.65,16
15911.0,54340,110.5,18
15911.0,74462,59.5,11
15911.0,79279,72.5,14
15911.0,80767,2695.5,34
15911.0,94092,102.69,16
15911.0,95511,270.2,49
15929.0,12542,254.5,39
15929.0,24547,161.34,18
15929.0,31596,32.0,6
15929.0,33047,146.0,23
15929.0,48048,6797.32,69
15929.0,51312,51.3,10
15929.0,54977,103.5,18
15929.0,56064,84.55000000000003,16
15929.0,67440,530.6500000000002,33
15929.0,67962,236.0,37
15929.0,74923,49.6,9
15929.0,78628,70.0,12
15929.0,99035,140.5,25
15935.0,22243,47.5,8
15935.0,41042,51.0,10
15935.0,41684,120.0,21
15935.0,4548,257.7,46
15935.0,49484,69.0,13
15935.0,55732,68.0,12
15935.0,59147,280.0,43
15935.0,60869,17150.0,12
15935.0,62707,42.5,8
15935.0,73478,229.26,33
15935.0,78337,160.61999999999995,17
15935.0,82652,31.5,6
15935.0,85864,56.0,8
15935.0,91350,49.0,10
15935.0,92918,69.5,11
15935.0,97997,39.0,6
15935.0,99064,6.0,1
15935.0,99381,43.0,7
15938.0,100053,47.0,8
15938.0,1476,56.0,10
15938.0,23425,83.0,15
15938.0,24252,121.4,23
15938.0,28546,94.0,15
15938.0,32706,119.5,21
15938.0,35552,52.5,8
15938.0,44336,47.0,9
15938.0,45668,17385.0,12
15938.0,46722,20.0,3
15938.0,48810,80.0,13
15938.0,54265,115.0,21
15938.0,65108,117.3,23
15938.0,70154,9.0,2
15938.0,74286,43.0,7
15938.0,74374,45.5,10
15938.0,77446,119.0,21
15938.0,7810,266.5,38
15938.0,93680,57.0,10
15938.0,94203,105.0,17
15938.0,98468,337.0,59
15938.0,99504,26.0,5
15944.0,2171,3308.75,50
15944.0,22428,215.5,33
15944.0,29439,210.0,36
15944.0,33124,50.0,1
15944.0,38534,260.9,46
15944.0,60668,123.5,14
15944.0,64696,179.0,33
15944.0,66262,239.35,45
15944.0,75041,111.0,16
15944.0,75239,117.5,18
15944.0,81480,155.45,26
15944.0,97657,121.5,14
15952.0,11734,130.0,23
15952.0,26150,60.0,9
15952.0,34072,188.0,30
15952.0,47354,69.0,11
15952.0,51430,8870.449999999999,179
15952.0,56132,90.9,18
15952.0,6069,134.90000000000003,25
15952.0,61083,69.0,12
15952.0,61755,187.5,32
15952.0,67073,147.5,21
15952.0,87425,443.61999999999983,20
15952.0,91777,86.85000000000002,15
15954.0,11131,18.0,2
15954.0,12714,58.0,9
15954.0,14493,72.5,12
15954.0,17769,17700.0,12
15954.0,36402,21.0,4
15954.0,40829,177.0,30
15954.0,42587,39.0,7
15954.0,42883,25.0,5
15954.0,4313,110.25,21
15954.0,48579,50.5,8
15954.0,5219,28.0,5
15954.0,55873,115.0,17
15954.0,56907,55.0,8
15954.0,5823,93.8,17
15954.0,5831,22.0,4
15954.0,60445,26.5,4
15954.0,63284,28.0,5
15954.0,66232,18.0,3
15954.0,88795,83.5,14
15954.0,89350,127.65,25
15964.0,100613,52.0,8
15964.0,17152,48.0,6
15964.0,20818,93.95,16
15964.0,33124,50.0,1
15964.0,36067,72.5,14
15964.0,47716,92.5,13
15964.0,48760,60.0,10
15964.0,57069,241.0,40
15964.0,68986,14230.0,12
15964.0,69646,90.5,13
15964.0,70129,85.45,13
15964.0,90751,200.65,33
15964.0,90771,88.51,14
15964.0,90819,220.95,37
15964.0,93720,174.95,32
15975.0,23047,369.15,58
15975.0,33124,50.0,1
15975.0,34969,144.5,26
15975.0,44155,415.53,61
15975.0,50933,27.35,6
15975.0,63172,352.3,60
15975.0,92283,109.0,20
15975.0,92337,6012.0,28
15975.0,94420,277.0,48
16004.0,22429,87.0,13
16004.0,22786,240.0,32
16004.0,25637,263.74,37
16004.0,27618,34.5,6
16004.0,33124,50.0,1
16004.0,41262,121.15,20
16004.0,41555,32.0,6
16004.0,44652,198.85,37
16004.0,47735,53.0,9
16004.0,51998,47.5,8
16004.0,52247,51.0,8
16004.0,61307,61.0,11
16004.0,73907,161.5,24
16004.0,86984,333.68999999999994,43
16004.0,8815,15610.0,12
16004.0,94497,259.68,30
16004.0,97659,33.5,5
16004.0,99952,4.5,1
16006.0,12190,143.5,25
16006.0,25543,53.0,9
16006.0,27758,138.45,21
16006.0,32366,61.5,12
16006.0,45745,17245.0,12
16006.0,61752,66.5,12
16006.0,62458,318.8,56
16006.0,66817,407.3,66
16006.0,71647,44.0,7
16006.0,78462,135.4,24
16006.0,82786,25.5,5
16006.0,83747,288.25,47
16006.0,97961,106.0,18
16006.0,98845,26.5,5
16006.0,98938,75.5,12
16006.0,99172,1248.0,213
16007.0,19489,87.33,16
16007.0,61250,48.75,11
16007.0,63865,105.5,19
16007.0,73077,78.75,7
16007.0,82846,1367.0,225
16007.0,8381,16785.0,12
16007.0,86352,295.86,47
16015.0,10209,47.0,8
16015.0,19820,39.5,7
16015.0,25450,59.5,10
16015.0,33124,50.0,1
16015.0,41546,15880.0,12
16015.0,54219,44.0,8
16015.0,57736,145.0,25
16015.0,59309,86.95,14
16015.0,59872,61.5,10
16015.0,63060,35.0,7
16015.0,63422,23.5,4
16015.0,75785,93.5,14
16015.0,78932,287.5,53
16015.0,89999,10.0,2
16015.0,97116,158.65,30
16015.0,97640,188.45,33
16015.0,98405,103.0,17
16015.0,98576,165.5,26
16016.0,13148,153.45,27
16016.0,17765,52.5,9
16016.0,20729,699.4499999999998,122
16016.0,21163,220.0,34
16016.0,24273,29.0,5
16016.0,33124,50.0,1
16016.0,36573,108.5,17
16016.0,38503,47.5,8
16016.0,4127,74.0,15
16016.0,41434,175.95,28
16016.0,44224,270.45,45
16016.0,58594,106.25,21
16016.0,6151,58.5,9
16016.0,62129,144.05,24
16016.0,68067,52.0,9
16016.0,71986,194.8,36
16016.0,72984,100.3,19
16016.0,87195,381.04999999999984,70
16016.0,87852,49.5,8
16016.0,9565,5392.1,31
16016.0,99447,89.5,14
16019.0,22033,241.54,35
16019.0,27550,81.0,14
16019.0,33124,50.0,1
16019.0,40965,110.0,17
16019.0,47515,47.5,8
16019.0,51787,271.0,47
16019.0,51861,92.65,15
16019.0,53615,166.0,29
16019.0,55641,4594.59,42
16019.0,60242,142.5,22
16019.0,65929,115.5,21
16019.0,77738,27.0,4
16019.0,78121,320.06,41
16019.0,82871,236.27,36
16019.0,93372,44.5,7
16020.0,22116,14.5,2
16020.0,24237,161.0,25
16020.0,29368,46.5,7
16020.0,30514,62.5,11
16020.0,32768,240.6,42
16020.0,35159,86.5,15
16020.0,39570,34.45,7
16020.0,40355,5463.05,35
16020.0,43861,145.45,25
16020.0,57468,46.5,8
16020.0,5882,52.0,9
16020.0,58969,24.0,4
16020.0,65781,68.0,12
16020.0,70245,61.0,10
16020.0,70880,68.05,10
16020.0,7296,36.5,6
16020.0,76501,16.0,3
16020.0,79121,176.0,30
16020.0,96501,61.5,12
16020.0,97632,130.5,21
16029.0,10116,83.0,16
16029.0,16798,138.5,22
16029.0,18834,95.0,16
16029.0,2848,118.5,20
16029.0,3008,189.5,27
16029.0,31400,48.5,7
16029.0,31550,41.0,6
16029.0,35944,187.5,24
16029.0,40474,93.0,17
16029.0,47377,67.5,12
16029.0,48823,42.15,8
16029.0,49289,49.5,9
16029.0,51066,25.0,5
16029.0,52879,754.5,123
16029.0,55051,66.5,10
16029.0,57313,201.75,35
16029.0,60402,248.55,43
16029.0,77071,17345.0,12
16029.0,81908,336.5,52
16029.0,87087,142.5,25
16029.0,8882,143.0,23
16029.0,91910,79.0,13
16029.0,9314,135.60000000000002,24
16034.0,23502,41.0,7
16034.0,26004,75.5,14
16034.0,28440,36.5,6
16034.0,28652,70.0,11
16034.0,31543,47.0,8
16034.0,38663,98.0,16
16034.0,49388,27.5,5
16034.0,51215,5494.5,47
16034.0,60816,87.5,14
16034.0,71056,255.5,46
16034.0,71287,234.5,36
16034.0,7369,58.5,10
16034.0,84090,239.5,40
16034.0,8501,348.15,58
