to_randomly_generated_account,frequency,monetary,recency
34144,27,677.0400000000001,2.0
34155,7,47.0,0.0
34160,17,1572.01,0.0
34168,28,205.29,5.0
3417,11,69.5,2.0
34171,16,90.0,3.0
34180,33,221.34,0.0
34182,18,111.0,0.0
34184,12,79.5,7.0
34189,19,116.5,0.0
34190,24,832.0,5.0
34196,20,101.5,3.0
34204,25,159.5,0.0
34217,19,144.99,0.0
34218,7,36.4,3.0
34220,11,68.0,0.0
34232,23,149.0,5.0
34239,17,93.0,0.0
34243,11,85.4,13.0
34263,30,979.0,1.0
34268,13,76.05,0.0
34275,2,11.0,15.0
34283,17,99.0,0.0
34291,18,117.5,0.0
34304,14,95.0,5.0
3431,17,102.0,5.0
34317,30,170.8,4.0
34318,5,27.5,5.0
34332,33,209.0,0.0
34365,14,81.5,2.0
34377,11,65.5,7.0
34387,39,224.0,1.0
34394,18,102.0,0.0
34405,21,121.5,5.0
34409,13,82.0,0.0
34431,28,165.25,0.0
34450,31,173.65,2.0
34456,11,81.5,13.0
34461,20,116.5,0.0
34462,13,78.5,6.0
34472,27,746.4,4.0
34501,7,43.5,7.0
34505,14,82.0,0.0
34520,25,178.96,1.0
34532,13,82.0,1.0
34533,25,141.75,1.0
34539,24,702.0,1.0
34542,5,36.0,7.0
34546,17,153.6,6.0
34554,10,60.0,5.0
3456,10,49.8,3.0
34568,15,105.0,1.0
34570,19,108.95,1.0
34573,33,197.65,3.0
3458,25,157.5,1.0
34587,17,95.5,0.0
34596,42,2395.4,0.0
34610,14,93.5,0.0
3462,22,1460.1,6.0
3465,25,851.5,0.0
34655,21,123.0,0.0
34659,20,1671.0,0.0
34665,21,128.0,1.0
34672,28,210.14,2.0
34678,25,146.25,5.0
34686,21,113.95,0.0
34689,5,33.5,0.0
34698,26,140.5,0.0
34709,9,46.8,0.0
34715,17,2132.95,3.0
3472,18,113.25,0.0
34721,25,161.5,1.0
34722,2,18.0,1.0
34732,11,103.25,0.0
34734,29,1988.0,1.0
34736,12,73.5,5.0
34748,24,170.67000000000002,0.0
34753,19,3441.5,1.0
34772,20,99.65,2.0
34785,7,44.0,17.0
34794,30,182.5,0.0
34797,11,65.9,6.0
34808,26,143.95,0.0
3483,32,845.86,5.0
34851,12,69.5,0.0
34861,17,114.17,0.0
34874,31,197.5,6.0
34878,10,58.3,3.0
34880,23,117.15,0.0
34887,13,82.5,1.0
34888,16,105.5,5.0
34897,15,113.5,0.0
34899,19,109.5,2.0
3491,17,1243.6,3.0
34915,23,131.5,0.0
34922,10,59.0,6.0
34923,39,1316.5,0.0
3495,13,75.8,1.0
34952,28,163.95,1.0
34955,16,96.0,0.0
34962,18,114.0,0.0
34966,18,112.08,3.0
34967,17,103.95,3.0
34969,10,84.57,4.0
34974,16,91.0,0.0
3498,13,71.4,0.0
34990,11,61.2,2.0
35011,34,237.92000000000002,0.0
35013,25,146.35,0.0
35020,23,147.56,1.0
35028,23,157.5,2.0
35034,11,68.5,0.0
35038,30,250.79999999999998,4.0
35044,9,46.75,0.0
35047,31,173.05,0.0
35057,22,1495.34,0.0
35064,3,16.0,5.0
35072,16,99.95,6.0
35080,23,243.72,1.0
35083,33,206.5,5.0
35088,29,1788.0,5.0
35104,10,366.84999999999997,0.0
35110,22,715.44,5.0
35112,17,839.5,2.0
35113,17,118.39,7.0
3512,16,90.5,0.0
35121,25,155.0,2.0
35125,13,280.0,11.0
35130,12,1540.0,1.0
35146,15,1634.65,0.0
35148,5,25.599999999999998,5.0
3515,13,1290.7,0.0
35158,4,21.5,28.0
35159,11,59.55,12.0
35165,24,555.44,1.0
35166,20,108.0,0.0
35168,30,1898.44,6.0
35177,14,75.5,0.0
35180,10,69.5,5.0
35184,11,441.95,1.0
35189,9,69.0,14.0
35190,27,1931.58,0.0
35200,7,1069.0,20.0
35202,22,122.0,0.0
3521,16,100.5,9.0
35212,18,108.3,1.0
35229,19,116.7,0.0
35230,14,80.25,0.0
35235,11,48.55,1.0
35238,14,100.5,6.0
35239,16,1009.9399999999999,1.0
35242,23,708.45,0.0
35244,27,1547.3,1.0
35250,20,108.0,0.0
35252,9,52.5,1.0
35256,35,227.84,2.0
35257,23,156.85,0.0
35259,7,36.95,10.0
35272,20,2554.9,0.0
35298,26,171.5,0.0
35302,18,146.69,5.0
35303,16,159.22,5.0
35307,16,108.5,5.0
35308,3,17.5,0.0
35312,4,24.0,0.0
35317,35,218.0,0.0
35320,9,331.17,6.0
35324,20,142.0,1.0
35327,18,107.0,5.0
35332,32,303.04,2.0
35337,17,108.0,3.0
35343,7,39.5,0.0
35351,22,123.4,0.0
35362,20,124.35,4.0
35375,28,171.6,0.0
35386,22,130.5,0.0
35393,14,121.52000000000001,3.0
35403,17,87.95,2.0
35419,16,100.0,5.0
35427,10,645.5,1.0
35429,20,940.0,1.0
35433,21,138.0,5.0
35434,20,125.0,0.0
35451,14,1524.8,0.0
35457,24,132.3,3.0
35463,18,102.5,6.0
35467,20,119.5,5.0
35468,7,42.5,0.0
35473,3,35.72,11.0
3548,16,87.5,2.0
35487,7,43.9,1.0
35504,20,175.7,5.0
35516,31,219.19,0.0
35519,15,92.5,5.0
35527,15,98.5,6.0
35535,16,105.0,0.0
35543,17,107.22,1.0
35551,4,22.0,0.0
35552,23,652.58,0.0
35556,17,90.5,0.0
3556,10,60.65,5.0
35565,14,91.45,1.0
35572,17,2733.0,0.0
3559,11,62.45,0.0
35590,19,162.27,1.0
35599,21,1012.5,0.0
3560,3,18.0,23.0
35600,25,137.0,0.0
35614,38,3652.5,0.0
35616,30,158.6,0.0
35625,18,96.9,4.0
35632,26,163.0,0.0
35646,26,179.49,0.0
35659,25,148.8,0.0
35664,6,35.0,0.0
35669,32,204.5,1.0
35675,9,62.69,2.0
35681,21,136.5,2.0
35683,14,83.0,2.0
35691,27,175.5,0.0
35693,16,1844.1,0.0
35705,20,1222.0,3.0
35708,10,50.7,2.0
35709,31,170.8,2.0
35715,9,53.5,15.0
35726,25,129.4,0.0
35746,18,112.5,1.0
35747,18,1054.5,0.0
3575,15,99.95,3.0
35762,28,156.5,0.0
3577,5,28.5,0.0
35774,31,1072.91,0.0
35781,9,58.0,0.0
3580,24,146.5,0.0
35802,22,124.7,2.0
35806,15,97.7,5.0
35812,22,165.75,4.0
35813,23,737.17,2.0
3582,32,229.2,0.0
35820,14,1155.0,0.0
35823,13,74.5,0.0
35828,7,32.9,5.0
35837,10,67.5,0.0
35840,23,121.95,4.0
35843,6,33.0,0.0
35851,19,158.0,0.0
35855,21,125.95,5.0
35875,15,87.0,5.0
35880,15,89.25,1.0
35883,11,80.0,7.0
35900,7,41.0,1.0
35915,9,55.5,5.0
35916,27,213.76,0.0
3592,16,86.35,9.0
35930,10,58.0,0.0
35931,11,53.0,0.0
35940,42,253.0,0.0
35944,16,872.5,0.0
35953,19,121.91,0.0
35960,26,169.72,5.0
35961,10,58.35,1.0
35965,9,43.05,10.0
35966,24,689.0,0.0
35972,41,2129.65,1.0
35976,26,153.0,0.0
3598,20,87.75,4.0
35982,34,207.06,1.0
35983,21,119.5,0.0
3599,13,65.85,0.0
36007,14,81.5,1.0
36015,10,56.0,3.0
3602,16,92.95,2.0
3603,11,800.68,1.0
36034,3,27.0,0.0
36035,16,85.25,1.0
36041,7,606.0,17.0
36044,30,312.79,4.0
36067,27,161.4,5.0
36073,16,104.5,5.0
36079,11,1218.5,0.0
36083,28,152.45,1.0
36109,5,33.5,0.0
3611,31,2177.45,0.0
36110,14,109.82,0.0
36117,17,98.45,1.0
36119,15,88.5,14.0
36130,19,197.78,0.0
36138,16,90.5,5.0
36143,12,76.0,6.0
36145,25,140.25,0.0
3615,23,127.2,1.0
36150,24,124.9,3.0
36160,10,1706.0,0.0
36164,37,240.69,0.0
36179,12,57.55,1.0
36184,23,125.4,0.0
36185,16,100.0,5.0
36188,27,167.5,5.0
36194,22,1043.55,7.0
36201,22,114.3,0.0
36202,14,113.21000000000001,1.0
36205,11,51.4,1.0
36227,11,141.69,0.0
3624,21,197.07999999999998,6.0
36265,4,22.5,0.0
36269,18,92.45,1.0
36270,15,85.5,5.0
36276,11,65.0,5.0
36280,22,126.5,0.0
36283,16,94.5,5.0
36284,37,179.0,6.0
36285,19,93.55,3.0
36291,27,174.0,3.0
36292,13,89.5,7.0
36296,21,106.8,1.0
36316,11,61.0,6.0
36320,33,1315.0,3.0
36322,12,62.0,5.0
36335,16,93.05,0.0
36338,16,84.15,0.0
3634,32,177.4,6.0
36346,12,66.15,0.0
36347,22,150.16,3.0
36350,21,182.4,0.0
36352,27,145.5,0.0
36353,26,213.21,0.0
36360,8,41.5,0.0
36379,10,1243.9899999999998,3.0
3638,21,149.87,12.0
36380,27,206.54,0.0
36391,12,72.0,0.0
36393,12,81.0,0.0
36399,20,135.25,0.0
36402,24,730.5,0.0
36409,27,199.66,7.0
36416,21,126.15,3.0
36417,16,95.5,0.0
3642,15,89.0,1.0
36424,10,55.75,0.0
36426,31,165.15,5.0
36430,19,115.5,1.0
36436,35,263.52,2.0
36437,8,52.5,0.0
36440,28,1393.25,1.0
36450,15,692.98,11.0
36460,4,20.5,13.0
3648,10,53.2,0.0
3650,27,164.15,1.0
36501,19,133.59,2.0
36502,6,35.0,0.0
36510,16,83.0,5.0
36513,12,73.5,5.0
36523,14,85.45,1.0
36540,23,147.0,0.0
36541,19,114.4,2.0
36543,17,111.31,0.0
36544,10,65.0,7.0
36550,28,2036.7,0.0
36555,13,65.45,1.0
36556,28,2755.45,0.0
36566,21,129.0,0.0
3657,13,69.4,1.0
36570,20,133.0,5.0
36573,21,133.4,5.0
36580,11,1041.5,7.0
36585,14,78.55,0.0
36587,31,163.0,0.0
36596,13,77.5,5.0
36611,23,133.4,0.0
36614,39,250.13,1.0
36638,12,70.4,1.0
36642,12,72.5,5.0
36647,22,730.65,0.0
36648,13,80.45,6.0
36655,20,122.7,5.0
36659,19,105.0,1.0
36660,14,116.56,0.0
36669,25,145.5,4.0
36688,40,272.19,0.0
36694,15,1003.4000000000001,3.0
36713,30,3121.5,0.0
36724,24,140.88,0.0
36725,17,109.5,6.0
36732,18,106.5,1.0
36733,28,2046.5,0.0
36740,16,91.7,0.0
36741,17,101.5,4.0
3675,18,110.0,0.0
36754,11,57.5,21.0
36757,37,220.3,0.0
36760,16,107.5,0.0
36773,12,62.0,1.0
36776,26,143.5,1.0
36779,15,91.6,5.0
36798,22,124.0,0.0
3680,43,30410.15,0.0
36802,9,49.7,1.0
36815,30,189.0,0.0
36833,31,208.02,0.0
36838,17,125.43,1.0
36840,10,54.0,6.0
36855,21,122.95,3.0
36856,28,200.64,0.0
36877,8,50.0,9.0
36888,23,162.46,1.0
36893,10,57.5,5.0
36905,24,195.46,0.0
36919,25,159.15,0.0
36923,20,124.5,4.0
36929,32,215.5,0.0
36933,29,165.5,5.0
3694,20,202.72,1.0
36964,16,94.5,0.0
36969,26,140.25,0.0
36997,23,136.15,0.0
37009,12,1461.02,0.0
37014,16,90.2,0.0
37025,11,67.0,0.0
3704,16,512.9,0.0
37074,11,64.9,2.0
37080,14,78.0,0.0
37083,13,79.5,0.0
37094,17,94.65,4.0
37098,15,97.35,1.0
37100,10,395.55,5.0
37105,10,99.67,0.0
37108,10,65.87,0.0
37109,13,66.75,0.0
37117,20,875.0,1.0
3712,21,813.0,1.0
37139,25,146.3,0.0
37145,17,104.0,0.0
37152,5,28.5,1.0
37155,14,83.15,2.0
37177,8,48.5,6.0
37186,17,136.56,3.0
37187,4,20.5,0.0
37200,29,180.25,5.0
37202,13,640.5,0.0
37205,31,199.0,0.0
37223,27,153.45,0.0
37225,13,79.5,0.0
37231,11,62.0,6.0
37235,36,212.0,0.0
37245,15,76.0,0.0
37248,8,45.0,0.0
37249,31,1553.55,5.0
3725,16,123.85,2.0
37250,16,515.0,5.0
37259,19,102.1,2.0
37260,23,128.5,0.0
37261,32,211.74,0.0
37263,21,3919.5,1.0
37272,5,27.0,0.0
37275,9,63.5,6.0
37281,16,742.45,2.0
37285,13,70.8,0.0
3729,14,78.88,0.0
37305,5,27.65,1.0
37310,23,1163.31,5.0
37319,19,116.0,0.0
37340,27,191.31,4.0
37345,18,105.95,0.0
37368,17,94.0,5.0
37379,25,125.25,2.0
37383,10,55.5,5.0
37389,29,177.0,2.0
37418,28,169.95,6.0
37422,27,160.65,2.0
37425,7,47.0,1.0
37432,19,114.45,2.0
37438,25,132.85,0.0
37458,5,56.78,0.0
37468,21,141.0,1.0
3747,27,151.0,0.0
37490,15,98.5,0.0
37493,13,66.15,1.0
37495,28,720.0,0.0
37498,20,128.65,1.0
37500,26,776.5,5.0
37501,13,79.5,0.0
37507,14,92.5,1.0
37519,11,73.5,1.0
37524,22,132.63,0.0
37526,11,710.5,8.0
37530,20,130.4,2.0
37534,18,2053.5,3.0
37535,28,243.37,0.0
37538,38,305.51,5.0
37539,10,1014.15,2.0
37555,29,182.0,1.0
37560,9,54.0,1.0
37593,27,174.5,1.0
37596,31,182.9,0.0
3760,12,63.0,0.0
37613,21,120.95,5.0
37618,13,3282.5,0.0
37633,11,73.53,0.0
3765,15,82.9,0.0
37652,16,85.0,10.0
37653,39,808.45,0.0
37671,16,1533.82,0.0
37675,11,60.75,5.0
37681,18,134.6,5.0
37684,14,79.7,5.0
37687,20,112.0,0.0
37688,15,82.5,5.0
37707,23,20410.0,0.0
37727,20,117.0,0.0
37731,5,25.4,15.0
37739,9,51.5,6.0
3776,22,125.5,0.0
37762,17,102.8,11.0
37764,23,122.55,3.0
37765,13,70.05,5.0
37766,24,869.94,4.0
37775,32,247.72,0.0
37783,19,1208.1,3.0
37801,8,44.9,7.0
37802,12,74.5,0.0
37805,23,132.0,0.0
37807,19,121.5,6.0
37817,18,327.25,5.0
37820,9,48.95,0.0
37822,17,83.5,3.0
37827,20,115.5,6.0
37832,13,85.5,2.0
37855,28,953.49,0.0
3786,22,2069.0,0.0
37882,7,41.5,6.0
37884,7,40.0,5.0
3789,18,93.25,0.0
37897,9,60.0,7.0
37901,13,944.5,0.0
37910,7,43.0,6.0
37913,29,178.5,0.0
37918,18,109.45,0.0
37919,14,69.15,6.0
37922,7,38.5,1.0
37923,26,147.0,0.0
37924,9,55.65,1.0
37931,30,237.39,0.0
37934,15,91.0,5.0
37949,11,61.15,2.0
3795,18,126.5,5.0
37953,22,122.0,0.0
37963,36,1547.82,0.0
37969,15,78.65,4.0
37978,25,148.05,5.0
37984,17,527.5,0.0
37988,7,41.0,14.0
37990,9,55.0,4.0
37992,16,94.0,2.0
37998,27,1054.7,3.0
3800,18,106.25,0.0
38018,16,114.43,0.0
38019,20,118.0,0.0
38020,13,82.0,1.0
38026,16,517.5,1.0
38031,7,50.5,10.0
38032,1,6.5,
38044,6,34.5,13.0
38045,8,44.95,15.0
38048,5,35.5,8.0
38051,13,99.12,0.0
38056,12,62.75,3.0
38057,14,103.84,0.0
38062,6,36.0,7.0
38067,40,2143.55,0.0
38084,5,30.5,12.0
38086,10,77.71000000000001,7.0
38095,17,105.5,0.0
38102,11,70.0,7.0
38106,23,154.5,1.0
38109,27,162.5,2.0
38111,16,104.5,8.0
38114,16,457.65,1.0
38120,25,171.0,0.0
38136,20,116.5,5.0
38145,12,70.5,0.0
38147,9,54.0,8.0
38171,23,141.5,1.0
3818,37,223.5,0.0
38181,20,162.17000000000002,5.0
38184,18,93.8,1.0
38187,15,789.51,5.0
38188,26,182.23,1.0
38193,12,78.55,0.0
38199,3,16.5,0.0
38201,18,1403.3,2.0
38203,27,171.0,1.0
38214,12,53.7,5.0
38216,21,137.5,8.0
38219,6,43.5,8.0
3822,14,85.45,0.0
38226,30,872.4,1.0
38232,13,77.0,1.0
38240,13,81.9,0.0
38247,12,1978.5,3.0
38250,36,203.0,0.0
38288,15,78.25,8.0
38289,20,831.21,4.0
38292,22,123.5,7.0
38298,20,127.0,1.0
38302,27,150.1,0.0
38315,20,120.45,0.0
38317,38,234.7,0.0
38320,14,1068.72,8.0
38353,9,55.5,3.0
38359,36,221.8,0.0
3836,30,183.0,0.0
38364,15,91.65,5.0
38365,10,507.49,1.0
38369,4,22.5,0.0
38372,10,1336.5,7.0
38378,26,248.75,2.0
3838,19,812.0,7.0
38394,12,741.95,0.0
38396,8,45.3,5.0
38398,10,62.0,0.0
38408,8,58.5,8.0
38417,20,1313.4,3.0
38419,25,157.0,3.0
38429,11,69.0,0.0
38430,2,11.0,0.0
38433,26,185.35,1.0
38435,36,244.44,0.0
38447,11,67.5,0.0
38448,21,710.8199999999999,5.0
38455,26,172.9,0.0
38456,33,205.0,0.0
38459,15,114.28999999999999,0.0
38461,9,59.5,0.0
38470,23,1769.18,3.0
38476,22,127.5,0.0
38480,23,133.55,0.0
3849,29,1333.35,0.0
38494,19,98.65,2.0
38503,20,110.95,5.0
38512,29,586.85,4.0
38514,14,80.15,4.0
38516,13,79.5,0.0
38526,3,9.25,0.0
3853,25,148.3,0.0
38533,24,128.0,0.0
38534,16,101.5,13.0
38548,8,53.22,0.0
38552,7,1096.51,15.0
38558,13,76.0,0.0
38562,16,133.13,1.0
3857,28,174.5,0.0
38573,17,450.5,1.0
38580,17,1822.7,0.0
38583,7,53.5,6.0
38602,33,198.0,5.0
38617,17,121.0,0.0
38620,14,91.5,0.0
38625,27,175.35,0.0
38646,26,1251.4,0.0
38651,24,1219.35,4.0
38652,11,57.05,0.0
38656,33,2965.0,0.0
38659,22,146.5,0.0
38663,38,263.9,0.0
38674,33,221.53,0.0
38677,21,164.98,3.0
3868,24,137.3,0.0
38686,11,95.38,6.0
38687,18,98.0,5.0
38707,16,124.44,1.0
38709,21,131.15,0.0
38711,4,36.0,0.0
38712,9,49.5,2.0
38719,10,50.0,0.0
38731,25,149.0,0.0
38736,32,199.5,0.0
38742,24,135.5,1.0
38744,16,2896.95,4.0
38745,19,143.78,0.0
38747,25,1456.5,1.0
38748,34,184.65,0.0
38759,18,108.0,0.0
38764,20,121.98,0.0
38770,20,113.5,0.0
38780,22,129.0,4.0
38790,29,2571.5,2.0
38797,28,1363.5,2.0
3880,18,102.5,1.0
38803,7,41.0,0.0
38807,16,99.55,3.0
38813,20,130.0,3.0
38820,18,106.35,2.0
3884,24,144.2,6.0
38841,25,137.75,1.0
38858,23,145.0,0.0
3887,39,277.44,5.0
38872,32,226.62,5.0
38878,5,27.0,7.0
38881,7,39.5,7.0
3889,11,69.5,5.0
38899,26,162.5,0.0
3890,27,150.0,0.0
38905,26,145.75,0.0
38906,16,853.45,12.0
38917,18,422.7,5.0
38927,15,124.68,1.0
38930,30,2142.65,0.0
3896,18,110.9,0.0
38962,14,104.88,4.0
38966,25,143.2,3.0
38968,14,93.5,0.0
38982,14,78.0,2.0
38983,25,166.5,0.0
38984,20,1927.0,3.0
38986,10,58.0,2.0
39000,10,56.95,2.0
39009,20,1265.6100000000001,2.0
39017,37,44164.5,0.0
39019,19,104.9,4.0
39024,13,65.75,0.0
39027,19,119.0,0.0
39033,19,741.34,1.0
39034,18,97.1,3.0
39037,24,142.5,0.0
39040,27,202.39,1.0
3905,15,95.5,0.0
39054,28,1814.4900000000002,0.0
39057,28,175.0,0.0
39063,44,2114.81,0.0
39065,23,134.95,7.0
3907,24,145.12,0.0
39074,24,168.5,5.0
39077,18,102.0,1.0
39078,23,168.29,0.0
39083,18,101.95,5.0
39097,11,65.5,0.0
39101,12,74.93,2.0
39108,24,148.0,0.0
39111,19,109.2,5.0
39119,17,672.0,2.0
39125,18,103.87,5.0
39129,17,96.45,5.0
3913,20,161.14,5.0
39131,13,80.78999999999999,5.0
39132,17,110.0,0.0
39140,18,107.5,6.0
39142,22,1100.5,0.0
39151,22,113.25,2.0
39158,14,71.95,6.0
39160,24,129.6,5.0
39179,21,128.65,3.0
39180,9,50.0,1.0
39181,10,55.0,5.0
39184,15,83.25,7.0
39190,15,83.5,2.0
39192,30,176.5,0.0
39194,18,800.0,0.0
3921,16,769.3299999999999,0.0
39218,9,56.0,5.0
3922,10,65.0,2.0
39230,11,75.5,0.0
39233,12,82.03999999999999,6.0
39239,19,101.45,0.0
39241,19,141.14,0.0
39252,17,110.69,1.0
39255,16,121.53,6.0
39262,24,148.3,1.0
39282,12,1674.5,5.0
39296,15,107.0,7.0
39298,22,127.75,2.0
39300,15,89.0,0.0
39301,30,176.0,1.0
39315,16,102.0,0.0
39316,14,86.5,0.0
39319,42,276.5,0.0
39321,17,101.5,0.0
39326,36,220.5,1.0
39327,12,78.85,1.0
39335,15,195.17,0.0
3934,13,96.18,12.0
39347,23,128.65,4.0
39350,15,553.3299999999999,0.0
39354,24,165.5,6.0
39369,39,226.25,1.0
39370,14,582.5,0.0
39372,18,96.15,2.0
39377,38,749.53,0.0
39380,18,101.65,2.0
39383,15,91.0,5.0
39387,16,984.5,0.0
39388,2,10.0,23.0
3939,26,161.67000000000002,2.0
39390,23,1345.65,4.0
39399,19,1137.65,0.0
39416,12,66.4,0.0
39417,9,46.5,0.0
39427,4,33.0,9.0
39437,22,130.1,1.0
39442,31,196.04,0.0
39452,16,87.2,3.0
39464,16,904.04,6.0
39467,9,56.0,4.0
39470,18,864.5,6.0
39483,21,130.5,0.0
39495,8,53.0,10.0
39498,15,94.05,5.0
39501,35,17843.0,0.0
39504,33,186.6,0.0
39511,33,179.25,5.0
39512,5,22.9,5.0
39517,16,91.65,7.0
39518,21,142.0,5.0
39521,32,2175.5,0.0
39527,29,218.12,0.0
39532,25,147.25,0.0
39540,38,303.05,6.0
39543,17,148.25,0.0
39551,8,56.0,0.0
39555,14,1970.42,0.0
39563,28,182.75,0.0
39565,17,130.72,0.0
39566,29,1739.1000000000001,0.0
39567,7,39.95,14.0
39569,11,71.85,5.0
39570,14,83.0,5.0
39577,14,1819.5,1.0
3958,13,73.0,6.0
39583,23,134.45,1.0
39589,27,220.04,0.0
39595,14,84.65,1.0
39596,11,79.82000000000001,0.0
39597,8,44.65,0.0
39605,22,1904.5,1.0
39618,15,90.0,13.0
39624,17,104.5,1.0
39637,17,100.15,0.0
39654,24,140.0,0.0
39673,19,113.55,0.0
39676,11,59.5,0.0
39679,17,929.5,5.0
39680,15,76.3,0.0
39683,37,216.6,0.0
39686,12,94.9,0.0
39688,10,58.0,0.0
39689,21,983.05,5.0
39690,16,84.0,5.0
39698,10,74.14,5.0
3970,23,160.5,5.0
39706,8,41.25,7.0
39707,3,15.5,0.0
39722,26,140.0,5.0
39733,21,1417.0,0.0
39736,28,172.5,0.0
39738,23,953.5,0.0
39739,18,107.0,12.0
39754,27,173.0,5.0
39760,14,92.0,6.0
39764,20,107.35,5.0
39779,22,1212.0,0.0
39780,16,101.0,5.0
39782,17,131.89,6.0
39803,17,108.25,3.0
39817,30,181.0,1.0
39825,16,1399.0,2.0
39829,22,120.25,0.0
39831,11,1785.5,0.0
39834,23,555.38,1.0
39841,13,66.1,0.0
39860,41,284.37,0.0
39877,8,56.0,0.0
39880,2,10.0,7.0
39889,18,777.5,2.0
39893,22,192.38,0.0
39895,24,126.5,0.0
39898,13,99.39,0.0
39906,17,96.45,6.0
39927,17,116.5,9.0
3993,16,108.5,0.0
39936,2,10.5,7.0
39937,25,148.25,0.0
3994,12,657.9200000000001,11.0
39945,33,2810.18,0.0
39951,14,79.0,5.0
39953,29,154.75,0.0
39956,10,53.65,7.0
39964,15,98.5,5.0
39969,10,56.5,0.0
39970,24,1956.3,7.0
39972,15,93.83,1.0
39973,28,175.5,1.0
39978,10,59.5,0.0
39989,15,71.6,0.0
39993,16,129.65,0.0
40007,28,1257.5,5.0
40013,26,152.15,6.0
40018,40,1395.95,0.0
40036,32,874.25,0.0
40039,27,175.5,0.0
40047,23,879.74,6.0
40048,13,72.5,0.0
40051,8,43.4,12.0
40054,32,193.15,0.0
40061,5,28.0,0.0
40080,20,1156.0,0.0
40083,13,83.0,5.0
4009,14,75.45,4.0
40106,15,97.0,0.0
40118,7,36.1,5.0
40131,24,139.45,1.0
40134,15,83.3,5.0
40136,19,139.7,1.0
40137,28,173.0,0.0
40141,8,662.17,9.0
40160,3,16.0,0.0
40172,24,118.0,0.0
4018,21,175.36,0.0
40180,23,168.99,0.0
40186,29,194.0,0.0
40200,8,44.5,0.0
40207,14,72.0,2.0
4021,29,162.75,0.0
40215,9,62.5,6.0
40225,29,833.94,0.0
40232,9,1022.6800000000001,4.0
40243,19,148.5,0.0
40246,22,125.5,5.0
40249,16,127.22,0.0
40254,30,1239.55,0.0
40260,10,67.0,1.0
40271,7,41.5,3.0
40280,25,147.0,1.0
40287,28,155.25,0.0
40288,10,73.25,0.0
40289,31,206.0,0.0
40290,13,69.15,2.0
40295,23,240.61,0.0
40308,8,48.0,0.0
40309,9,61.0,0.0
40318,16,108.4,2.0
40321,16,113.95,6.0
40325,18,674.0,0.0
40331,19,115.7,6.0
40334,25,128.05,0.0
40350,8,60.64,1.0
40354,10,62.5,9.0
40355,31,3700.65,4.0
40356,23,136.5,0.0
40361,9,57.5,17.0
40367,28,159.2,0.0
40371,18,100.5,0.0
40372,20,115.5,5.0
40373,15,88.34,0.0
40377,20,115.5,0.0
40382,20,130.5,0.0
40392,29,171.15,2.0
40396,21,111.0,1.0
40405,6,34.0,1.0
40407,19,101.65,4.0
40409,20,125.75,6.0
4044,11,66.15,1.0
40444,13,77.5,5.0
40451,19,634.84,5.0
40454,20,129.06,0.0
40456,14,1328.5,4.0
40459,38,1009.55,5.0
40461,12,65.0,4.0
4047,21,118.15,1.0
40474,15,83.0,5.0
40482,27,1184.46,1.0
40494,22,190.32,0.0
40495,33,172.3,5.0
4051,10,48.1,14.0
40518,44,1385.5,0.0
40519,3,14.0,16.0
40521,13,70.95,0.0
40532,20,122.4,5.0
40536,8,57.5,0.0
40538,11,700.5,8.0
40544,21,113.8,4.0
40565,12,808.0,1.0
40576,24,1656.55,0.0
40598,23,141.5,4.0
40602,11,70.5,4.0
40610,13,664.67,0.0
40623,28,184.73,1.0
40627,17,86.55,0.0
40629,29,180.5,0.0
40632,13,76.5,1.0
40634,12,99.19,1.0
40636,10,76.4,0.0
40644,39,23996.0,0.0
40649,13,80.0,2.0
40665,21,863.41,2.0
40666,18,112.5,6.0
40670,6,31.5,4.0
40671,15,91.25,8.0
40679,18,437.75,6.0
40683,15,99.81,1.0
40695,14,423.67,2.0
40706,21,155.87,0.0
40716,17,110.3,0.0
40728,9,91.53999999999999,12.0
40735,27,149.3,1.0
40739,21,145.54,1.0
40745,19,100.15,5.0
40749,16,90.0,0.0
40752,24,162.87,0.0
40765,12,92.0,0.0
40771,30,183.65,5.0
40775,20,106.1,5.0
4081,14,488.8,6.0
40827,12,80.84,0.0
40828,18,87.15,8.0
40829,22,1033.5,5.0
4083,11,60.5,4.0
40836,13,83.54,8.0
40837,19,1014.8100000000001,3.0
40838,20,132.5,0.0
40853,32,2030.0,0.0
40855,13,78.5,0.0
40872,18,100.5,0.0
40895,28,180.1,0.0
40896,32,181.45,0.0
40901,13,1440.6000000000001,0.0
40903,14,84.0,5.0
4091,17,318.54,6.0
40913,10,53.4,5.0
40921,30,166.65,6.0
40926,18,101.95,5.0
40932,29,178.0,0.0
40933,11,77.5,2.0
40940,21,1525.3,2.0
40951,21,103.15,4.0
40953,23,766.5,2.0
40959,7,41.5,2.0
40965,21,145.15,4.0
40966,11,72.5,0.0
41000,16,108.5,0.0
41011,14,111.96000000000001,7.0
41027,5,31.0,1.0
41032,30,228.28,1.0
41036,24,134.45,0.0
41042,31,1369.81,0.0
41057,17,112.0,1.0
4106,14,1237.84,2.0
41062,10,60.8,0.0
41065,13,81.5,1.0
41067,27,160.5,2.0
4107,11,72.0,7.0
41075,14,82.0,6.0
41088,34,234.37,0.0
41093,26,155.01,0.0
41100,21,117.5,7.0
41101,36,197.5,1.0
41113,25,1732.12,5.0
41117,18,771.5,7.0
41125,14,82.5,0.0
