from_totally_fake_account,monetary,frequency,recency,R_score,F_score,M_score,R Compare,F Compare,M Compare,Category
26534.0,19443.05,1382,0,5,4,2,high,high,low,General value customers
26536.0,14838.89,1480,0,5,4,1,high,high,low,General value customers
26542.0,35434.16,1409,0,5,4,5,high,high,high,important value customers
26558.0,21371.19,1113,0,5,3,3,high,low,low,General development users
26568.0,24600.079999999998,2068,0,5,5,4,high,high,high,important value customers
26630.0,16233.89,1189,0,5,3,1,high,low,low,General development users
26646.0,33337.92,1031,0,5,2,5,high,low,high,Important development customers
26652.0,19794.89,1291,0,5,4,3,high,high,low,General value customers
26688.0,31607.579999999998,1124,0,5,3,5,high,low,high,Important development customers
26714.0,26619.239999999998,1228,0,5,3,4,high,low,high,Important development customers
26731.0,38727.97,1597,0,5,5,5,high,high,high,important value customers
26737.0,29925.06,953,0,5,1,4,high,low,high,Important development customers
26805.0,31090.08,1258,0,5,4,5,high,high,high,important value customers
26813.0,18411.95,1013,0,5,2,2,high,low,low,General development users
26814.0,21536.43,1243,0,5,3,3,high,low,low,General development users
26819.0,20227.92,1082,0,5,2,3,high,low,low,General development users
26824.0,28571.85,1037,0,5,2,4,high,low,high,Important development customers
26842.0,25001.13,933,1,4,1,4,low,low,high,Important customer recall
26846.0,21202.99,1636,0,5,5,3,high,high,low,General value customers
26847.0,13655.68,1071,0,5,2,1,high,low,low,General development users
26890.0,21588.34,2208,0,5,5,3,high,high,low,General value customers
26937.0,17320.17,988,0,5,2,2,high,low,low,General development users
26955.0,15019.2,984,0,5,2,1,high,low,low,General development users
26969.0,16397.58,1457,0,5,4,1,high,high,low,General value customers
27006.0,15721.23,1180,3,2,3,1,low,low,low,General recall of customers
27035.0,15583.79,1063,1,4,2,1,low,low,low,General recall of customers
27046.0,31503.08,1760,0,5,5,5,high,high,high,important value customers
27062.0,28398.02,707,2,3,1,4,low,low,high,Important customer recall
27082.0,24623.38,916,0,5,1,4,high,low,high,Important development customers
27124.0,35153.86,1844,0,5,5,5,high,high,high,important value customers
27134.0,17251.94,939,0,5,1,2,high,low,low,General development users
27135.0,23884.16,1172,1,4,3,4,low,low,high,Important customer recall
27145.0,35614.96,1523,1,4,4,5,low,high,high,Important to keep customers
27151.0,18022.21,970,0,5,2,2,high,low,low,General development users
27168.0,16921.12,1066,0,5,2,1,high,low,low,General development users
27171.0,30480.44,1037,0,5,2,5,high,low,high,Important development customers
27173.0,28982.37,865,0,5,1,4,high,low,high,Important development customers
27180.0,31622.47,1099,0,5,3,5,high,low,high,Important development customers
27197.0,12217.04,770,1,4,1,1,low,low,low,General recall of customers
27204.0,22481.58,981,2,3,2,3,low,low,low,General recall of customers
27223.0,12154.64,750,2,3,1,1,low,low,low,General recall of customers
27266.0,32720.82,1218,0,5,3,5,high,low,high,Important development customers
27287.0,32590.57,891,0,5,1,5,high,low,high,Important development customers
27292.0,17959.54,1414,0,5,4,2,high,high,low,General value customers
27295.0,30174.29,1071,0,5,2,4,high,low,high,Important development customers
27296.0,18191.87,1140,0,5,3,2,high,low,low,General development users
27300.0,16648.49,1177,0,5,3,1,high,low,low,General development users
27308.0,18841.44,870,1,4,1,2,low,low,low,General recall of customers
27331.0,28389.39,627,1,4,1,4,low,low,high,Important customer recall
27333.0,21185.88,1129,1,4,3,3,low,low,low,General recall of customers
27338.0,27024.05,1047,0,5,2,4,high,low,high,Important development customers
27342.0,23631.52,1901,0,5,5,4,high,high,high,important value customers
27355.0,21666.38,945,0,5,1,3,high,low,low,General development users
27372.0,31273.3,927,0,5,1,5,high,low,high,Important development customers
27399.0,15255.43,1926,0,5,5,1,high,high,low,General value customers
27402.0,13568.77,1183,0,5,3,1,high,low,low,General development users
27406.0,18038.71,1639,0,5,5,2,high,high,low,General value customers
27409.0,14494.02,994,1,4,2,1,low,low,low,General recall of customers
27411.0,34027.9,1409,0,5,4,5,high,high,high,important value customers
27422.0,23990.66,1417,0,5,4,4,high,high,high,important value customers
27425.0,27073.36,1020,0,5,2,4,high,low,high,Important development customers
27459.0,15457.33,890,0,5,1,1,high,low,low,General development users
27467.0,30046.01,857,1,4,1,4,low,low,high,Important customer recall
27522.0,14588.74,780,1,4,1,1,low,low,low,General recall of customers
27547.0,17109.35,912,1,4,1,2,low,low,low,General recall of customers
27548.0,13168.18,1004,1,4,2,1,low,low,low,General recall of customers
27550.0,21571.22,1023,0,5,2,3,high,low,low,General development users
27552.0,16634.79,820,1,4,1,1,low,low,low,General recall of customers
27555.0,16060.13,916,1,4,1,1,low,low,low,General recall of customers
27575.0,36336.4,1839,0,5,5,5,high,high,high,important value customers
27585.0,28989.45,926,0,5,1,4,high,low,high,Important development customers
27594.0,17266.78,1153,0,5,3,2,high,low,low,General development users
27618.0,35222.45,1325,1,4,4,5,low,high,high,Important to keep customers
27628.0,13340.85,793,0,5,1,1,high,low,low,General development users
27641.0,39339.25,859,0,5,1,5,high,low,high,Important development customers
27649.0,28645.41,1342,0,5,4,4,high,high,high,important value customers
27650.0,20495.81,1242,1,4,3,3,low,low,low,General recall of customers
27655.0,12483.27,849,0,5,1,1,high,low,low,General development users
27661.0,19761.36,1822,0,5,5,3,high,high,low,General value customers
27662.0,20185.85,1146,0,5,3,3,high,low,low,General development users
27678.0,36727.32,1925,0,5,5,5,high,high,high,important value customers
27697.0,20955.54,1714,0,5,5,3,high,high,low,General value customers
27700.0,20115.420000000002,1383,0,5,4,3,high,high,low,General value customers
27704.0,21111.05,1649,0,5,5,3,high,high,low,General value customers
27746.0,18135.25,1082,0,5,2,2,high,low,low,General development users
27758.0,24104.57,1155,0,5,3,4,high,low,high,Important development customers
27784.0,20505.2,1531,0,5,4,3,high,high,low,General value customers
27794.0,13355.03,936,0,5,1,1,high,low,low,General development users
27801.0,37878.2,1026,0,5,2,5,high,low,high,Important development customers
27826.0,25759.9,1332,0,5,4,4,high,high,high,important value customers
27860.0,19369.91,891,1,4,1,2,low,low,low,General recall of customers
27867.0,17650.78,1740,0,5,5,2,high,high,low,General value customers
27872.0,16792.66,1195,0,5,3,1,high,low,low,General development users
27887.0,18751.19,1305,0,5,4,2,high,high,low,General value customers
27892.0,15885.48,1082,0,5,2,1,high,low,low,General development users
27895.0,31747.2,968,0,5,2,5,high,low,high,Important development customers
27899.0,35280.97,1949,0,5,5,5,high,high,high,important value customers
27903.0,18815.69,770,2,3,1,2,low,low,low,General recall of customers
27940.0,14019.27,733,0,5,1,1,high,low,low,General development users
27941.0,20540.31,846,1,4,1,3,low,low,low,General recall of customers
27971.0,33247.58,1452,0,5,4,5,high,high,high,important value customers
27975.0,15635.24,991,0,5,2,1,high,low,low,General development users
27979.0,22772.33,1217,1,4,3,3,low,low,low,General recall of customers
27983.0,17657.4,2026,0,5,5,2,high,high,low,General value customers
27990.0,22805.61,1059,0,5,2,3,high,low,low,General development users
28032.0,15707.36,1099,0,5,3,1,high,low,low,General development users
28056.0,22774.67,854,3,2,1,3,low,low,low,General recall of customers
28085.0,19067.3,1035,1,4,2,2,low,low,low,General recall of customers
28095.0,16027.66,933,0,5,1,1,high,low,low,General development users
28155.0,34412.12,938,0,5,1,5,high,low,high,Important development customers
28173.0,15718.2,952,0,5,1,1,high,low,low,General development users
28181.0,28380.66,854,0,5,1,4,high,low,high,Important development customers
28225.0,17742.9,992,0,5,2,2,high,low,low,General development users
28234.0,19929.36,1443,0,5,4,3,high,high,low,General value customers
28242.0,18696.08,1772,0,5,5,2,high,high,low,General value customers
28247.0,15752.32,1114,0,5,3,1,high,low,low,General development users
28251.0,26147.2,1194,1,4,3,4,low,low,high,Important customer recall
28272.0,20095.32,1312,0,5,4,3,high,high,low,General value customers
28287.0,26969.47,797,0,5,1,4,high,low,high,Important development customers
28288.0,14589.04,992,0,5,2,1,high,low,low,General development users
28313.0,17934.68,944,0,5,1,2,high,low,low,General development users
28316.0,21823.46,1750,0,5,5,3,high,high,low,General value customers
28329.0,23209.1,1465,0,5,4,4,high,high,high,important value customers
28366.0,17890.9,696,0,5,1,2,high,low,low,General development users
28381.0,25733.420000000002,782,2,3,1,4,low,low,high,Important customer recall
28386.0,16445.3,1288,0,5,4,1,high,high,low,General value customers
28391.0,23247.64,1023,2,3,2,4,low,low,high,Important customer recall
28399.0,19100.829999999998,1022,0,5,2,2,high,low,low,General development users
28420.0,26893.579999999998,1987,0,5,5,4,high,high,high,important value customers
28441.0,16946.25,1250,0,5,4,1,high,high,low,General value customers
28442.0,20144.73,910,0,5,1,3,high,low,low,General development users
28445.0,28130.91,928,0,5,1,4,high,low,high,Important development customers
28448.0,33858.79,1789,0,5,5,5,high,high,high,important value customers
28474.0,30501.47,786,1,4,1,5,low,low,high,Important customer recall
28476.0,22630.81,1688,0,5,5,3,high,high,low,General value customers
28479.0,30659.670000000002,772,3,2,1,5,low,low,high,Important customer recall
28492.0,13787.74,1044,1,4,2,1,low,low,low,General recall of customers
28513.0,33952.58,1792,0,5,5,5,high,high,high,important value customers
28516.0,32519.63,904,0,5,1,5,high,low,high,Important development customers
28521.0,19014.44,1632,0,5,5,2,high,high,low,General value customers
28542.0,18952.12,1197,2,3,3,2,low,low,low,General recall of customers
28551.0,32995.81,1077,0,5,2,5,high,low,high,Important development customers
28559.0,23159.190000000002,1522,0,5,4,4,high,high,high,important value customers
28572.0,20742.07,1293,0,5,4,3,high,high,low,General value customers
28574.0,18828.74,847,0,5,1,2,high,low,low,General development users
28582.0,34403.1,1809,0,5,5,5,high,high,high,important value customers
28603.0,17895.52,1654,0,5,5,2,high,high,low,General value customers
28620.0,26024.94,745,0,5,1,4,high,low,high,Important development customers
28641.0,32922.29,1384,0,5,4,5,high,high,high,important value customers
28656.0,36473.38,1476,1,4,4,5,low,high,high,Important to keep customers
28669.0,28573.46,1339,0,5,4,4,high,high,high,important value customers
28672.0,18322.9,698,0,5,1,2,high,low,low,General development users
28673.0,18340.57,1009,0,5,2,2,high,low,low,General development users
28676.0,15671.75,1640,0,5,5,1,high,high,low,General value customers
28681.0,17945.82,888,0,5,1,2,high,low,low,General development users
28684.0,20125.5,1018,1,4,2,3,low,low,low,General recall of customers
28690.0,20883.55,1250,0,5,4,3,high,high,low,General value customers
28692.0,31920.55,1429,0,5,4,5,high,high,high,important value customers
28717.0,28095.09,950,2,3,1,4,low,low,high,Important customer recall
28719.0,36224.66,1048,1,4,2,5,low,low,high,Important customer recall
28721.0,15086.11,971,0,5,2,1,high,low,low,General development users
28735.0,31166.15,1021,0,5,2,5,high,low,high,Important development customers
28744.0,32682.95,1459,0,5,4,5,high,high,high,important value customers
28750.0,22595.64,1711,0,5,5,3,high,high,low,General value customers
28753.0,22062.11,1156,1,4,3,3,low,low,low,General recall of customers
28767.0,35726.32,1730,0,5,5,5,high,high,high,important value customers
28776.0,16673.41,1799,0,5,5,1,high,high,low,General value customers
28787.0,26455.35,994,0,5,2,4,high,low,high,Important development customers
28790.0,18497.079999999998,1177,3,2,3,2,low,low,low,General recall of customers
28803.0,16996.45,1046,0,5,2,2,high,low,low,General development users
28823.0,13149.97,976,1,4,2,1,low,low,low,General recall of customers
28845.0,30555.06,1421,0,5,4,5,high,high,high,important value customers
28862.0,31549.13,1235,0,5,3,5,high,low,high,Important development customers
28873.0,34650.98,1825,0,5,5,5,high,high,high,important value customers
28887.0,19680.12,1268,0,5,4,3,high,high,low,General value customers
28972.0,22184.29,1775,0,5,5,3,high,high,low,General value customers
28976.0,21995.43,1249,0,5,4,3,high,high,low,General value customers
28992.0,29515.8,1194,1,4,3,4,low,low,high,Important customer recall
28993.0,10690.5,751,0,5,1,1,high,low,low,General development users
29008.0,18719.33,1632,0,5,5,2,high,high,low,General value customers
29030.0,16638.9,1084,0,5,2,1,high,low,low,General development users
29038.0,22542.63,1736,0,5,5,3,high,high,low,General value customers
29051.0,22668.37,1759,0,5,5,3,high,high,low,General value customers
29058.0,24341.46,1458,0,5,4,4,high,high,high,important value customers
29069.0,14966.75,1030,1,4,2,1,low,low,low,General recall of customers
29087.0,29834.07,642,0,5,1,4,high,low,high,Important development customers
29111.0,35252.97,1027,1,4,2,5,low,low,high,Important customer recall
29113.0,27572.2,1099,0,5,3,4,high,low,high,Important development customers
29118.0,16401.32,831,1,4,1,1,low,low,low,General recall of customers
29136.0,20595.51,1023,0,5,2,3,high,low,low,General development users
29141.0,17647.24,1113,1,4,3,2,low,low,low,General recall of customers
29151.0,16474.76,1277,0,5,4,1,high,high,low,General value customers
29164.0,22710.73,1387,0,5,4,3,high,high,low,General value customers
29168.0,19985.09,1351,0,5,4,3,high,high,low,General value customers
29172.0,14998.34,756,2,3,1,1,low,low,low,General recall of customers
29173.0,20075.23,1003,0,5,2,3,high,low,low,General development users
29198.0,22526.59,1451,0,5,4,3,high,high,low,General value customers
29202.0,21399.56,1152,0,5,3,3,high,low,low,General development users
29210.0,10077.87,732,2,3,1,1,low,low,low,General recall of customers
29211.0,14711.49,1050,0,5,2,1,high,low,low,General development users
29240.0,25094.08,1906,0,5,5,4,high,high,high,important value customers
29242.0,22899.83,993,0,5,2,3,high,low,low,General development users
29245.0,16647.78,1664,0,5,5,1,high,high,low,General value customers
29259.0,17944.82,1214,0,5,3,2,high,low,low,General development users
29264.0,16160.74,1028,2,3,2,1,low,low,low,General recall of customers
29270.0,19752.68,1034,0,5,2,3,high,low,low,General development users
29292.0,22444.25,951,0,5,1,3,high,low,low,General development users
29302.0,37015.13,1419,0,5,4,5,high,high,high,important value customers
29303.0,19023.71,1062,0,5,2,2,high,low,low,General development users
29305.0,16321.34,1318,0,5,4,1,high,high,low,General value customers
29308.0,26978.72,893,0,5,1,4,high,low,high,Important development customers
29312.0,19160.73,1059,0,5,2,2,high,low,low,General development users
29314.0,15809.32,935,0,5,1,1,high,low,low,General development users
29326.0,31223.18,1115,0,5,3,5,high,low,high,Important development customers
29340.0,37450.54,2111,0,5,5,5,high,high,high,important value customers
29366.0,30825.23,1190,0,5,3,5,high,low,high,Important development customers
29401.0,18251.36,1127,0,5,3,2,high,low,low,General development users
29403.0,21547.81,2329,0,5,5,3,high,high,low,General value customers
29410.0,27531.16,1067,1,4,2,4,low,low,high,Important customer recall
29414.0,21158.56,924,0,5,1,3,high,low,low,General development users
29418.0,20142.68,955,2,3,1,3,low,low,low,General recall of customers
29422.0,20803.07,1033,2,3,2,3,low,low,low,General recall of customers
29439.0,20602.93,1365,0,5,4,3,high,high,low,General value customers
29443.0,32425.14,1415,0,5,4,5,high,high,high,important value customers
29448.0,32980.77,1379,0,5,4,5,high,high,high,important value customers
29449.0,33635.87,1716,0,5,5,5,high,high,high,important value customers
29460.0,21542.89,2147,0,5,5,3,high,high,low,General value customers
29491.0,16261.09,1071,0,5,2,1,high,low,low,General development users
29529.0,12470.98,818,0,5,1,1,high,low,low,General development users
29536.0,12873.12,927,0,5,1,1,high,low,low,General development users
29546.0,31633.84,882,3,2,1,5,low,low,high,Important customer recall
29600.0,17313.25,1044,1,4,2,2,low,low,low,General recall of customers
29648.0,17458.07,1226,0,5,3,2,high,low,low,General development users
29649.0,32163.09,1678,0,5,5,5,high,high,high,important value customers
29677.0,13852.05,807,1,4,1,1,low,low,low,General recall of customers
29686.0,14735.33,1079,3,2,2,1,low,low,low,General recall of customers
29692.0,15166.12,1004,1,4,2,1,low,low,low,General recall of customers
29699.0,18834.05,1053,1,4,2,2,low,low,low,General recall of customers
29702.0,31270.03,1130,0,5,3,5,high,low,high,Important development customers
29707.0,16641.26,1110,0,5,3,1,high,low,low,General development users
29708.0,21942.88,1658,0,5,5,3,high,high,low,General value customers
29720.0,16778.97,1111,0,5,3,1,high,low,low,General development users
29756.0,23922.86,1189,0,5,3,4,high,low,high,Important development customers
29764.0,17832.38,1948,0,5,5,2,high,high,low,General value customers
29798.0,32844.89,1880,0,5,5,5,high,high,high,important value customers
29810.0,19852.57,1261,0,5,4,3,high,high,low,General value customers
29813.0,13730.01,1047,0,5,2,1,high,low,low,General development users
29825.0,19059.94,1316,0,5,4,2,high,high,low,General value customers
29848.0,26761.36,1192,0,5,3,4,high,low,high,Important development customers
29859.0,18922.11,1190,0,5,3,2,high,low,low,General development users
29861.0,19353.22,1305,1,4,4,2,low,high,low,Generally keep customers
29869.0,17740.829999999998,1079,3,2,2,2,low,low,low,General recall of customers
29890.0,18508.74,981,0,5,2,2,high,low,low,General development users
29918.0,38597.67,1176,0,5,3,5,high,low,high,Important development customers
29922.0,22816.26,1353,0,5,4,3,high,high,low,General value customers
29926.0,19585.47,1044,2,3,2,3,low,low,low,General recall of customers
29934.0,18093.78,1335,0,5,4,2,high,high,low,General value customers
29936.0,30660.69,959,1,4,2,5,low,low,high,Important customer recall
29962.0,15262.83,910,0,5,1,1,high,low,low,General development users
29974.0,29608.36,751,0,5,1,4,high,low,high,Important development customers
29979.0,13000.42,1251,0,5,4,1,high,high,low,General value customers
29987.0,24378.25,914,0,5,1,4,high,low,high,Important development customers
29993.0,25693.739999999998,810,0,5,1,4,high,low,high,Important development customers
30037.0,14857.53,1078,0,5,2,1,high,low,low,General development users
30040.0,18132.79,1427,0,5,4,2,high,high,low,General value customers
30041.0,18506.58,929,1,4,1,2,low,low,low,General recall of customers
30050.0,28853.1,2025,0,5,5,4,high,high,high,important value customers
30053.0,15657.18,1279,0,5,4,1,high,high,low,General value customers
30072.0,27425.97,983,0,5,2,4,high,low,high,Important development customers
30075.0,35672.83,1782,0,5,5,5,high,high,high,important value customers
30077.0,31561.45,680,3,2,1,5,low,low,high,Important customer recall
30082.0,19252.63,1150,0,5,3,2,high,low,low,General development users
30084.0,16820.98,1025,1,4,2,1,low,low,low,General recall of customers
30096.0,31870.68,1135,1,4,3,5,low,low,high,Important customer recall
30101.0,34799.83,1523,0,5,4,5,high,high,high,important value customers
30122.0,34434.07,1901,0,5,5,5,high,high,high,important value customers
30125.0,35202.66,1284,0,5,4,5,high,high,high,important value customers
30126.0,19487.99,919,0,5,1,2,high,low,low,General development users
30129.0,16587.78,1201,0,5,3,1,high,low,low,General development users
30143.0,21538.39,1134,0,5,3,3,high,low,low,General development users
30158.0,18988.85,1619,0,5,5,2,high,high,low,General value customers
30161.0,27008.11,1527,0,5,4,4,high,high,high,important value customers
30179.0,22281.98,1235,0,5,3,3,high,low,low,General development users
30197.0,34399.28,1589,0,5,4,5,high,high,high,important value customers
30198.0,13927.41,934,1,4,1,1,low,low,low,General recall of customers
30200.0,34473.2,1255,0,5,4,5,high,high,high,important value customers
30204.0,20926.39,1045,0,5,2,3,high,low,low,General development users
30208.0,32611.86,1016,0,5,2,5,high,low,high,Important development customers
30211.0,29761.05,1154,0,5,3,4,high,low,high,Important development customers
30216.0,16150.65,959,0,5,2,1,high,low,low,General development users
30217.0,29247.61,1779,0,5,5,4,high,high,high,important value customers
30254.0,17198.44,1020,0,5,2,2,high,low,low,General development users
30269.0,15757.01,1204,1,4,3,1,low,low,low,General recall of customers
30277.0,14881.02,1010,0,5,2,1,high,low,low,General development users
30279.0,31505.43,1693,0,5,5,5,high,high,high,important value customers
30289.0,29680.94,1083,0,5,2,4,high,low,high,Important development customers
30292.0,20856.2,1709,0,5,5,3,high,high,low,General value customers
30302.0,31822.84,1795,0,5,5,5,high,high,high,important value customers
30305.0,20727.89,1037,0,5,2,3,high,low,low,General development users
30311.0,19780.69,1562,0,5,4,3,high,high,low,General value customers
30331.0,35093.67,942,0,5,1,5,high,low,high,Important development customers
30337.0,18293.13,780,1,4,1,2,low,low,low,General recall of customers
30342.0,17820.29,1723,0,5,5,2,high,high,low,General value customers
30350.0,38731.68,1699,0,5,5,5,high,high,high,important value customers
30352.0,23373.5,1050,0,5,2,4,high,low,high,Important development customers
30365.0,22606.0,1445,0,5,4,3,high,high,low,General value customers
30379.0,32694.09,768,1,4,1,5,low,low,high,Important customer recall
30386.0,20324.55,861,0,5,1,3,high,low,low,General development users
30397.0,15528.32,964,0,5,2,1,high,low,low,General development users
30430.0,16372.18,1640,0,5,5,1,high,high,low,General value customers
30473.0,36174.68,1807,0,5,5,5,high,high,high,important value customers
30475.0,15700.7,1663,0,5,5,1,high,high,low,General value customers
30479.0,28105.920000000002,1162,0,5,3,4,high,low,high,Important development customers
30489.0,36458.97,1887,0,5,5,5,high,high,high,important value customers
30497.0,18678.4,1126,1,4,3,2,low,low,low,General recall of customers
30508.0,22060.65,1192,0,5,3,3,high,low,low,General development users
30536.0,14685.8,1631,0,5,5,1,high,high,low,General value customers
30553.0,40008.840000000004,1903,0,5,5,5,high,high,high,important value customers
30605.0,24903.72,1812,0,5,5,4,high,high,high,important value customers
30617.0,10550.31,537,2,3,1,1,low,low,low,General recall of customers
30621.0,30627.41,914,0,5,1,5,high,low,high,Important development customers
30625.0,11554.69,843,1,4,1,1,low,low,low,General recall of customers
30638.0,18444.04,1105,1,4,3,2,low,low,low,General recall of customers
30643.0,23486.53,1113,0,5,3,4,high,low,high,Important development customers
30655.0,37640.86,1210,0,5,3,5,high,low,high,Important development customers
30659.0,16105.9,1193,0,5,3,1,high,low,low,General development users
30673.0,16118.89,1278,0,5,4,1,high,high,low,General value customers
30728.0,33318.66,1686,0,5,5,5,high,high,high,important value customers
30758.0,17058.84,1049,0,5,2,2,high,low,low,General development users
30760.0,20796.52,1734,0,5,5,3,high,high,low,General value customers
30772.0,15362.92,1025,1,4,2,1,low,low,low,General recall of customers
30868.0,32347.39,1199,0,5,3,5,high,low,high,Important development customers
30873.0,18762.04,1202,0,5,3,2,high,low,low,General development users
30875.0,32648.28,833,0,5,1,5,high,low,high,Important development customers
30885.0,16240.25,1033,0,5,2,1,high,low,low,General development users
30886.0,26986.27,984,0,5,2,4,high,low,high,Important development customers
30891.0,17792.36,956,1,4,1,2,low,low,low,General recall of customers
30894.0,20717.01,1249,0,5,4,3,high,high,low,General value customers
30913.0,13754.93,833,0,5,1,1,high,low,low,General development users
30923.0,18422.2,1119,0,5,3,2,high,low,low,General development users
30942.0,18033.63,1087,1,4,2,2,low,low,low,General recall of customers
30949.0,19695.69,1398,0,5,4,3,high,high,low,General value customers
30962.0,27198.63,1995,0,5,5,4,high,high,high,important value customers
30976.0,35228.05,1272,1,4,4,5,low,high,high,Important to keep customers
30986.0,32423.920000000002,1694,0,5,5,5,high,high,high,important value customers
30999.0,16036.81,1072,0,5,2,1,high,low,low,General development users
31002.0,19457.86,1597,0,5,5,2,high,high,low,General value customers
31018.0,15688.22,998,0,5,2,1,high,low,low,General development users
31030.0,16997.56,871,0,5,1,2,high,low,low,General development users
31043.0,33079.87,1648,0,5,5,5,high,high,high,important value customers
31053.0,17685.4,993,0,5,2,2,high,low,low,General development users
31056.0,16490.47,1132,0,5,3,1,high,low,low,General development users
31063.0,34112.26,1114,0,5,3,5,high,low,high,Important development customers
31091.0,16850.05,740,2,3,1,1,low,low,low,General recall of customers
31105.0,13637.36,669,0,5,1,1,high,low,low,General development users
31119.0,30026.09,842,1,4,1,4,low,low,high,Important customer recall
31134.0,14802.67,1588,0,5,4,1,high,high,low,General value customers
31140.0,18742.55,1904,0,5,5,2,high,high,low,General value customers
31151.0,17566.45,1113,0,5,3,2,high,low,low,General development users
31155.0,20707.32,1727,0,5,5,3,high,high,low,General value customers
31184.0,15424.17,825,0,5,1,1,high,low,low,General development users
31243.0,19125.91,1489,0,5,4,2,high,high,low,General value customers
31249.0,30348.05,2066,0,5,5,4,high,high,high,important value customers
31267.0,18048.829999999998,934,0,5,1,2,high,low,low,General development users
31285.0,13802.12,927,1,4,1,1,low,low,low,General recall of customers
31291.0,32030.98,673,0,5,1,5,high,low,high,Important development customers
31299.0,20463.39,1764,0,5,5,3,high,high,low,General value customers
31302.0,21741.7,608,2,3,1,3,low,low,low,General recall of customers
31303.0,15526.59,1043,3,2,2,1,low,low,low,General recall of customers
31329.0,22313.76,1589,0,5,4,3,high,high,low,General value customers
31354.0,17102.02,1127,0,5,3,2,high,low,low,General development users
31370.0,17874.8,854,0,5,1,2,high,low,low,General development users
31400.0,32047.02,1226,0,5,3,5,high,low,high,Important development customers
31418.0,18826.47,1438,0,5,4,2,high,high,low,General value customers
31438.0,27812.66,937,1,4,1,4,low,low,high,Important customer recall
31467.0,19216.78,1661,0,5,5,2,high,high,low,General value customers
31468.0,21420.73,1176,0,5,3,3,high,low,low,General development users
31469.0,19202.16,948,0,5,1,2,high,low,low,General development users
31489.0,18757.02,1103,0,5,3,2,high,low,low,General development users
31494.0,25423.86,1300,0,5,4,4,high,high,high,important value customers
31502.0,18168.52,1869,0,5,5,2,high,high,low,General value customers
31509.0,17152.11,1132,1,4,3,2,low,low,low,General recall of customers
31514.0,13463.2,1234,0,5,3,1,high,low,low,General development users
31522.0,17806.84,952,0,5,1,2,high,low,low,General development users
31540.0,9434.37,763,0,5,1,1,high,low,low,General development users
31543.0,19561.12,1013,0,5,2,3,high,low,low,General development users
31544.0,18498.8,1133,0,5,3,2,high,low,low,General development users
31550.0,36737.74,1428,0,5,4,5,high,high,high,important value customers
31551.0,20033.81,2044,0,5,5,3,high,high,low,General value customers
31562.0,16225.07,1195,0,5,3,1,high,low,low,General development users
31596.0,23154.03,1024,1,4,2,4,low,low,high,Important customer recall
31650.0,24254.51,1829,0,5,5,4,high,high,high,important value customers
31655.0,20396.89,722,2,3,1,3,low,low,low,General recall of customers
31659.0,34253.24,1267,0,5,4,5,high,high,high,important value customers
31664.0,26948.52,965,1,4,2,4,low,low,high,Important customer recall
31673.0,24606.21,907,2,3,1,4,low,low,high,Important customer recall
31681.0,14923.8,1090,0,5,3,1,high,low,low,General development users
31686.0,16310.32,1500,0,5,4,1,high,high,low,General value customers
31703.0,22519.31,1073,1,4,2,3,low,low,low,General recall of customers
31707.0,17702.22,1092,0,5,3,2,high,low,low,General development users
31726.0,19440.76,1746,0,5,5,2,high,high,low,General value customers
31749.0,18682.52,1104,0,5,3,2,high,low,low,General development users
31763.0,18525.4,1130,0,5,3,2,high,low,low,General development users
31770.0,36865.93,1699,0,5,5,5,high,high,high,important value customers
31789.0,19622.55,1076,0,5,2,3,high,low,low,General development users
31792.0,20543.23,1503,0,5,4,3,high,high,low,General value customers
31797.0,30480.3,594,3,2,1,5,low,low,high,Important customer recall
31803.0,29896.5,1051,0,5,2,4,high,low,high,Important development customers
31814.0,15164.32,1216,0,5,3,1,high,low,low,General development users
31817.0,22220.32,1072,0,5,2,3,high,low,low,General development users
31827.0,23440.45,1169,0,5,3,4,high,low,high,Important development customers
31832.0,21745.46,1179,0,5,3,3,high,low,low,General development users
31834.0,25126.36,1382,0,5,4,4,high,high,high,important value customers
31840.0,24403.06,1334,0,5,4,4,high,high,high,important value customers
31842.0,31143.12,744,1,4,1,5,low,low,high,Important customer recall
31871.0,29752.07,751,1,4,1,4,low,low,high,Important customer recall
31891.0,34430.56,1204,0,5,3,5,high,low,high,Important development customers
31898.0,20900.01,1257,0,5,4,3,high,high,low,General value customers
31907.0,13233.49,851,1,4,1,1,low,low,low,General recall of customers
31910.0,18426.420000000002,926,2,3,1,2,low,low,low,General recall of customers
31938.0,17686.66,986,0,5,2,2,high,low,low,General development users
31940.0,19148.56,1102,0,5,3,2,high,low,low,General development users
31948.0,18868.38,1091,0,5,3,2,high,low,low,General development users
31949.0,22529.49,1765,0,5,5,3,high,high,low,General value customers
31957.0,20521.22,1719,0,5,5,3,high,high,low,General value customers
31962.0,20201.47,1197,1,4,3,3,low,low,low,General recall of customers
31974.0,18543.96,1696,0,5,5,2,high,high,low,General value customers
32016.0,14585.51,1624,0,5,5,1,high,high,low,General value customers
32029.0,30887.92,1179,0,5,3,5,high,low,high,Important development customers
32035.0,18461.39,901,1,4,1,2,low,low,low,General recall of customers
32065.0,21152.24,1173,0,5,3,3,high,low,low,General development users
32075.0,18562.29,1275,0,5,4,2,high,high,low,General value customers
32108.0,14492.68,1334,0,5,4,1,high,high,low,General value customers
