from_totally_fake_account,total_transactions,total_amount_spent,transactions_quintile,amount_quintile,transactions_level,amount_level,activity_score
34332.0,1249,25997.06,4,4,High,High,4.0
46411.0,1347,28121.16,4,4,High,High,4.0
46358.0,1539,29621.73,4,4,High,High,4.0
47832.0,1461,29845.59,4,4,High,High,4.0
24960.0,1577,25297.01,4,4,High,High,4.0
24964.0,1253,29822.5,4,4,High,High,4.0
61409.0,1324,27030.14,4,4,High,High,4.0
46131.0,1530,30095.9,4,4,High,High,4.0
34554.0,1270,23451.14,4,4,High,High,4.0
34568.0,1472,25576.16,4,4,High,High,4.0
34573.0,1314,23776.21,4,4,High,High,4.0
49301.0,1304,24872.73,4,4,High,High,4.0
23598.0,1547,23278.22,4,4,High,High,4.0
52774.0,1404,27868.32,4,4,High,High,4.0
51680.0,1427,29101.8,4,4,High,High,4.0
50784.0,1480,24018.32,4,4,High,High,4.0
25860.0,1594,29253.85,4,4,High,High,4.0
31494.0,1300,25423.86,4,4,High,High,4.0
51027.0,1304,27092.3,4,4,High,High,4.0
25930.0,1268,29348.06,4,4,High,High,4.0
59294.0,1271,23945.44,4,4,High,High,4.0
51233.0,1458,26039.95,4,4,High,High,4.0
65178.0,1510,25302.57,4,4,High,High,4.0
65280.0,1500,29836.9,4,4,High,High,4.0
59005.0,1362,28190.24,4,4,High,High,4.0
65456.0,1307,29695.25,4,4,High,High,4.0
26232.0,1292,25088.02,4,4,High,High,4.0
49386.0,1331,27218.46,4,4,High,High,4.0
58813.0,1411,25744.26,4,4,High,High,4.0
42792.0,1508,25652.52,4,4,High,High,4.0
58676.0,1311,23434.43,4,4,High,High,4.0
36733.0,1312,28181.31,4,4,High,High,4.0
42725.0,1425,27900.28,4,4,High,High,4.0
42497.0,1492,23421.78,4,4,High,High,4.0
22598.0,1434,27529.64,4,4,High,High,4.0
52150.0,1583,23732.89,4,4,High,High,4.0
65917.0,1354,24330.36,4,4,High,High,4.0
52318.0,1344,27311.22,4,4,High,High,4.0
52735.0,1266,24316.92,4,4,High,High,4.0
50741.0,1507,26411.85,4,4,High,High,4.0
50706.0,1567,28275.85,4,4,High,High,4.0
43595.0,1539,29992.72,4,4,High,High,4.0
35961.0,1516,27973.22,4,4,High,High,4.0
25574.0,1528,24990.39,4,4,High,High,4.0
63918.0,1475,27164.87,4,4,High,High,4.0
23561.0,1583,29018.07,4,4,High,High,4.0
44089.0,1331,25679.8,4,4,High,High,4.0
64147.0,1391,29567.93,4,4,High,High,4.0
49499.0,1444,26227.04,4,4,High,High,4.0
25589.0,1291,30369.65,4,4,High,High,4.0
44034.0,1571,28907.14,4,4,High,High,4.0
25613.0,1443,28079.56,4,4,High,High,4.0
60223.0,1263,28133.88,4,4,High,High,4.0
60197.0,1258,26241.36,4,4,High,High,4.0
64272.0,1511,29548.15,4,4,High,High,4.0
64314.0,1529,25077.12,4,4,High,High,4.0
60126.0,1335,25405.64,4,4,High,High,4.0
49730.0,1281,23051.26,4,4,High,High,4.0
49776.0,1441,29414.5,4,4,High,High,4.0
49782.0,1261,24186.93,4,4,High,High,4.0
31840.0,1334,24403.06,4,4,High,High,4.0
31834.0,1382,25126.36,4,4,High,High,4.0
23265.0,1375,29046.28,4,4,High,High,4.0
64715.0,1269,29540.22,4,4,High,High,4.0
64772.0,1426,24739.06,4,4,High,High,4.0
59697.0,1390,29276.98,4,4,High,High,4.0
51108.0,1369,26847.97,4,4,High,High,4.0
70238.0,1279,24518.34,4,4,High,High,4.0
84302.0,1251,30287.1,4,4,High,High,4.0
4465.0,1338,28244.18,4,4,High,High,4.0
2035.0,1333,27124.66,4,4,High,High,4.0
71531.0,1481,25968.82,4,4,High,High,4.0
93827.0,1352,23990.18,4,4,High,High,4.0
15838.0,1479,23125.54,4,4,High,High,4.0
73478.0,1293,23964.13,4,4,High,High,4.0
91268.0,1388,23538.39,4,4,High,High,4.0
86819.0,1559,29588.46,4,4,High,High,4.0
84594.0,1450,30039.63,4,4,High,High,4.0
92830.0,1468,23553.01,4,4,High,High,4.0
77452.0,1468,25340.8,4,4,High,High,4.0
92882.0,1290,23529.96,4,4,High,High,4.0
71740.0,1523,29649.56,4,4,High,High,4.0
76328.0,1326,30056.92,4,4,High,High,4.0
13072.0,1352,23706.01,4,4,High,High,4.0
77410.0,1272,23845.98,4,4,High,High,4.0
98119.0,1475,23793.75,4,4,High,High,4.0
81946.0,1347,24662.11,4,4,High,High,4.0
96883.0,1328,28956.71,4,4,High,High,4.0
71296.0,1442,24201.29,4,4,High,High,4.0
82181.0,1553,23150.9,4,4,High,High,4.0
8059.0,1431,23939.42,4,4,High,High,4.0
9474.0,1563,29185.25,4,4,High,High,4.0
99807.0,1542,25840.96,4,4,High,High,4.0
70709.0,1537,26468.62,4,4,High,High,4.0
9508.0,1575,24279.84,4,4,High,High,4.0
19950.0,1505,28163.89,4,4,High,High,4.0
78056.0,1269,25178.33,4,4,High,High,4.0
1786.0,1291,29889.97,4,4,High,High,4.0
95870.0,1406,27548.8,4,4,High,High,4.0
91393.0,1398,23814.97,4,4,High,High,4.0
17947.0,1327,23093.89,4,4,High,High,4.0
87098.0,1522,26512.61,4,4,High,High,4.0
89847.0,1285,29126.59,4,4,High,High,4.0
87068.0,1503,27233.36,4,4,High,High,4.0
19672.0,1463,28530.8,4,4,High,High,4.0
2030.0,1334,29651.97,4,4,High,High,4.0
71204.0,1375,23101.74,4,4,High,High,4.0
12403.0,1323,29628.76,4,4,High,High,4.0
73353.0,1559,27977.06,4,4,High,High,4.0
99092.0,1591,28953.76,4,4,High,High,4.0
78062.0,1451,24127.68,4,4,High,High,4.0
7257.0,1323,29848.16,4,4,High,High,4.0
10696.0,1401,25012.57,4,4,High,High,4.0
7538.0,1345,24139.18,4,4,High,High,4.0
7446.0,1431,27616.83,4,4,High,High,4.0
4044.0,1514,23234.48,4,4,High,High,4.0
72745.0,1373,24975.16,4,4,High,High,4.0
10794.0,1469,25437.53,4,4,High,High,4.0
12630.0,1314,30211.54,4,4,High,High,4.0
11120.0,1554,23317.58,4,4,High,High,4.0
98552.0,1499,24500.35,4,4,High,High,4.0
10913.0,1263,26374.33,4,4,High,High,4.0
16469.0,1473,23763.3,4,4,High,High,4.0
3970.0,1385,28414.19,4,4,High,High,4.0
5831.0,1528,28696.83,4,4,High,High,4.0
98473.0,1279,27086.68,4,4,High,High,4.0
5852.0,1515,24907.3,4,4,High,High,4.0
18528.0,1525,24165.14,4,4,High,High,4.0
90923.0,1324,30198.68,4,4,High,High,4.0
3896.0,1404,24500.2,4,4,High,High,4.0
82527.0,1263,28617.47,4,4,High,High,4.0
98171.0,1248,25106.3,4,4,High,High,4.0
7246.0,1320,29101.95,4,4,High,High,4.0
71817.0,1513,26780.7,4,4,High,High,4.0
77195.0,1310,27158.52,4,4,High,High,4.0
4125.0,1542,28881.43,4,4,High,High,4.0
12501.0,1466,23851.63,4,4,High,High,4.0
71988.0,1350,25921.24,4,4,High,High,4.0
86178.0,1334,29348.56,4,4,High,High,4.0
5580.0,1338,29261.66,4,4,High,High,4.0
2779.0,1506,25135.13,4,4,High,High,4.0
86156.0,1441,23760.07,4,4,High,High,4.0
82780.0,1550,30153.18,4,4,High,High,4.0
82399.0,1277,29997.08,4,4,High,High,4.0
76569.0,1297,29858.86,4,4,High,High,4.0
84959.0,1262,24826.43,4,4,High,High,4.0
85079.0,1383,23345.13,4,4,High,High,4.0
18986.0,1431,29548.06,4,4,High,High,4.0
98303.0,1315,28894.43,4,4,High,High,4.0
85917.0,1369,23733.57,4,4,High,High,4.0
91660.0,1331,29421.15,4,4,High,High,4.0
99666.0,1579,23617.31,4,4,High,High,4.0
20003.0,1454,28355.76,4,4,High,High,4.0
89213.0,1327,23318.95,4,4,High,High,4.0
100493.0,1405,23709.22,4,4,High,High,4.0
8919.0,1340,29539.45,4,4,High,High,4.0
88350.0,1533,26022.2,4,4,High,High,4.0
5251.0,1366,23285.57,4,4,High,High,4.0
20724.0,1485,28806.29,4,4,High,High,4.0
20661.0,1426,28561.82,4,4,High,High,4.0
8947.0,1410,28572.25,4,4,High,High,4.0
88339.0,1454,24913.2,4,4,High,High,4.0
88315.0,1572,26505.07,4,4,High,High,4.0
74182.0,1385,26681.63,4,4,High,High,4.0
83177.0,1497,27083.13,4,4,High,High,4.0
20575.0,1368,23151.13,4,4,High,High,4.0
78422.0,1294,23394.7,4,4,High,High,4.0
99814.0,1410,24886.5,4,4,High,High,4.0
15184.0,1439,27569.68,4,4,High,High,4.0
69564.0,1301,23077.26,4,4,High,High,4.0
15214.0,1371,28941.74,4,4,High,High,4.0
14124.0,1367,30389.07,4,4,High,High,4.0
17528.0,1369,29631.69,4,4,High,High,4.0
68979.0,1339,25153.06,4,4,High,High,4.0
95160.0,1538,23889.93,4,4,High,High,4.0
6567.0,1316,24625.67,4,4,High,High,4.0
79510.0,1465,29266.82,4,4,High,High,4.0
88821.0,1269,27222.04,4,4,High,High,4.0
8661.0,1418,30092.27,4,4,High,High,4.0
4837.0,1589,29788.25,4,4,High,High,4.0
100873.0,1283,25837.44,4,4,High,High,4.0
97460.0,1347,24205.45,4,4,High,High,4.0
12101.0,1341,23265.05,4,4,High,High,4.0
92428.0,1246,26862.97,4,4,Low,High,4.0
20818.0,1542,29220.83,4,4,High,High,4.0
74604.0,1510,23536.03,4,4,High,High,4.0
14865.0,1277,24176.77,4,4,High,High,4.0
79739.0,1319,27036.38,4,4,High,High,4.0
75114.0,1538,28245.37,4,4,High,High,4.0
75182.0,1342,25211.32,4,4,High,High,4.0
92237.0,1520,25398.42,4,4,High,High,4.0
8864.0,1259,29548.27,4,4,High,High,4.0
14358.0,1358,25598.9,4,4,High,High,4.0
15250.0,1335,30300.83,4,4,High,High,4.0
78418.0,1264,27049.09,4,4,High,High,4.0
9120.0,1433,25387.31,4,4,High,High,4.0
11729.0,1406,30065.86,4,4,High,High,4.0
73744.0,1386,26689.45,4,4,High,High,4.0
91749.0,1255,29077.86,4,4,High,High,4.0
88041.0,1476,27968.08,4,4,High,High,4.0
17730.0,1352,25317.31,4,4,High,High,4.0
99988.0,1259,30394.88,4,4,High,High,4.0
70075.0,1271,24523.21,4,4,High,High,4.0
100053.0,1393,30137.71,4,4,High,High,4.0
8143.0,1256,29985.57,4,4,High,High,4.0
70629.0,1362,27169.32,4,4,High,High,4.0
80512.0,1328,30057.43,4,4,High,High,4.0
5322.0,1576,29896.84,4,4,High,High,4.0
89461.0,1345,28218.19,4,4,High,High,4.0
7002.0,1578,25862.01,4,4,High,High,4.0
89638.0,1453,28730.36,4,4,High,High,4.0
7041.0,1517,29925.67,4,4,High,High,4.0
95243.0,1324,28706.43,4,4,High,High,4.0
83067.0,1553,29212.53,4,4,High,High,4.0
94178.0,1269,23538.44,4,4,High,High,4.0
82909.0,1038,31244.39,2,5,Low,High,3.8
5979.0,1045,36408.34,2,5,Low,High,3.8
6289.0,1057,32904.82,2,5,Low,High,3.8
82887.0,1699,21546.67,5,3,High,Low,3.8
46799.0,1653,21273.44,5,3,High,Low,3.8
28316.0,1750,21823.46,5,3,High,Low,3.8
82980.0,1672,21485.43,5,3,High,Low,3.8
55115.0,1698,22509.77,5,3,High,Low,3.8
12542.0,1924,20123.43,5,3,High,Low,3.8
82719.0,1741,19946.65,5,3,High,Low,3.8
34097.0,1670,20531.13,5,3,High,Low,3.8
6154.0,1868,22197.17,5,3,High,Low,3.8
83037.0,1661,20841.13,5,3,High,Low,3.8
34096.0,1076,30717.54,2,5,Low,High,3.8
12048.0,1024,31013.61,2,5,Low,High,3.8
54900.0,1028,34078.91,2,5,Low,High,3.8
46494.0,1053,31230.1,2,5,Low,High,3.8
92778.0,1062,34255.96,2,5,Low,High,3.8
92775.0,1657,20235.09,5,3,High,Low,3.8
55251.0,1055,33013.28,2,5,Low,High,3.8
28476.0,1688,22630.81,5,3,High,Low,3.8
92785.0,1689,20815.99,5,3,High,Low,3.8
12435.0,1610,22018.35,5,3,High,Low,3.8
28719.0,1048,36224.66,2,5,Low,High,3.8
92710.0,1602,21318.94,5,3,High,Low,3.8
83164.0,2088,19757.24,5,3,High,Low,3.8
6097.0,1013,32676.49,2,5,Low,High,3.8
82856.0,1609,22839.34,5,3,High,Low,3.8
12202.0,994,31887.9,2,5,Low,High,3.8
28735.0,1021,31166.15,2,5,Low,High,3.8
55270.0,971,33540.12,2,5,Low,High,3.8
82802.0,1877,19765.06,5,3,High,Low,3.8
55112.0,1796,19855.02,5,3,High,Low,3.8
28750.0,1711,22595.64,5,3,High,Low,3.8
55475.0,1703,19821.72,5,3,High,Low,3.8
5984.0,1799,22615.08,5,3,High,Low,3.8
55538.0,1797,20366.89,5,3,High,Low,3.8
92692.0,1788,21420.77,5,3,High,Low,3.8
28551.0,1077,32995.81,2,5,Low,High,3.8
83068.0,1862,19574.52,5,3,High,Low,3.8
55314.0,1713,22209.64,5,3,High,Low,3.8
55099.0,1808,20697.27,5,3,High,Low,3.8
6233.0,1798,19720.6,5,3,High,Low,3.8
92601.0,1608,19550.51,5,3,High,Low,3.8
12649.0,1732,21857.51,5,3,High,Low,3.8
27661.0,1822,19761.36,5,3,High,Low,3.8
82707.0,1680,21859.36,5,3,High,Low,3.8
94209.0,1019,30696.22,2,5,Low,High,3.8
5298.0,1711,21353.68,5,3,High,Low,3.8
26890.0,2208,21588.34,5,3,High,Low,3.8
44898.0,1631,20419.84,5,3,High,Low,3.8
14073.0,990,32625.15,2,5,Low,High,3.8
57433.0,1702,21576.94,5,3,High,Low,3.8
35166.0,1986,19945.39,5,3,High,Low,3.8
80606.0,1935,19715.76,5,3,High,Low,3.8
5319.0,1818,21189.89,5,3,High,Low,3.8
57414.0,961,31166.62,2,5,Low,High,3.8
45037.0,2087,22147.45,5,3,High,Low,3.8
27171.0,1037,30480.44,2,5,Low,High,3.8
80632.0,987,32328.85,2,5,Low,High,3.8
45069.0,987,31869.59,2,5,Low,High,3.8
80869.0,1724,21323.85,5,3,High,Low,3.8
45087.0,1762,19929.45,5,3,High,Low,3.8
5353.0,966,31091.36,2,5,Low,High,3.8
13724.0,981,33271.31,2,5,Low,High,3.8
35110.0,973,30756.87,2,5,Low,High,3.8
13633.0,1665,20123.04,5,3,High,Low,3.8
26846.0,1636,21202.99,5,3,High,Low,3.8
5283.0,1671,21219.53,5,3,High,Low,3.8
94090.0,1650,19886.13,5,3,High,Low,3.8
80245.0,1911,21040.29,5,3,High,Low,3.8
14577.0,2298,21277.77,5,3,High,Low,3.8
58665.0,1962,20541.14,5,3,High,Low,3.8
79591.0,1791,20142.76,5,3,High,Low,3.8
35487.0,1003,31621.94,2,5,Low,High,3.8
94879.0,1819,21906.98,5,3,High,Low,3.8
79674.0,1067,33594.58,2,5,Low,High,3.8
44378.0,1000,30728.96,2,5,Low,High,3.8
58400.0,1794,21932.07,5,3,High,Low,3.8
35403.0,1664,22807.69,5,3,High,Low,3.8
35375.0,1990,21580.0,5,3,High,Low,3.8
79889.0,1887,21431.04,5,3,High,Low,3.8
94368.0,1060,32198.24,2,5,Low,High,3.8
79924.0,1899,21540.74,5,3,High,Low,3.8
44533.0,1067,31570.64,2,5,Low,High,3.8
80080.0,968,35884.43,2,5,Low,High,3.8
26646.0,1031,33337.92,2,5,Low,High,3.8
80106.0,1089,31332.63,2,5,Low,High,3.8
94213.0,996,31998.11,2,5,Low,High,3.8
94210.0,969,30722.66,2,5,Low,High,3.8
81434.0,1706,22861.49,5,3,High,Low,3.8
94032.0,970,32646.42,2,5,Low,High,3.8
46150.0,1980,22245.27,5,3,High,Low,3.8
27697.0,1714,20955.54,5,3,High,Low,3.8
27704.0,1649,21111.05,5,3,High,Low,3.8
56105.0,1788,22295.77,5,3,High,Low,3.8
45774.0,982,31069.12,2,5,Low,High,3.8
12971.0,1748,21783.04,5,3,High,Low,3.8
27801.0,1026,37878.2,2,5,Low,High,3.8
82398.0,1950,21027.87,5,3,High,Low,3.8
12913.0,1672,20832.42,5,3,High,Low,3.8
56069.0,1760,22084.25,5,3,High,Low,3.8
5620.0,1013,30769.5,2,5,Low,High,3.8
82447.0,1019,33712.33,2,5,Low,High,3.8
27895.0,968,31747.2,2,5,Low,High,3.8
93528.0,1755,21943.38,5,3,High,Low,3.8
45836.0,1007,33178.26,2,5,Low,High,3.8
34748.0,1907,21725.95,5,3,High,Low,3.8
82652.0,989,30525.27,2,5,Low,High,3.8
55787.0,2192,20347.28,5,3,High,Low,3.8
46074.0,1684,20371.9,5,3,High,Low,3.8
5805.0,1726,19950.05,5,3,High,Low,3.8
55684.0,1696,21078.95,5,3,High,Low,3.8
82199.0,1071,32815.05,2,5,Low,High,3.8
54877.0,1683,20995.47,5,3,High,Low,3.8
57069.0,1078,31471.7,2,5,Low,High,3.8
45582.0,1028,31605.45,2,5,Low,High,3.8
45096.0,2166,20549.08,5,3,High,Low,3.8
45199.0,1002,35070.96,2,5,Low,High,3.8
5403.0,988,35178.25,2,5,Low,High,3.8
45230.0,1078,34128.86,2,5,Low,High,3.8
94025.0,1681,19881.12,5,3,High,Low,3.8
13311.0,1711,20355.98,5,3,High,Low,3.8
45292.0,1785,22997.79,5,3,High,High,3.8
13278.0,1088,33259.67,2,5,Low,High,3.8
45331.0,2121,21432.91,5,3,High,Low,3.8
45476.0,1061,31831.5,2,5,Low,High,3.8
56542.0,1697,19658.84,5,3,High,Low,3.8
81719.0,1789,20614.32,5,3,High,Low,3.8
45528.0,1803,21173.85,5,3,High,Low,3.8
13219.0,1739,22055.85,5,3,High,Low,3.8
56377.0,1797,22725.0,5,3,High,Low,3.8
93787.0,1714,20872.72,5,3,High,Low,3.8
81826.0,2080,20974.59,5,3,High,Low,3.8
93782.0,997,35162.91,2,5,Low,High,3.8
81897.0,1061,32895.96,2,5,Low,High,3.8
28972.0,1775,22184.29,5,3,High,Low,3.8
20981.0,1766,22926.55,5,3,High,High,3.8
83574.0,1019,32775.7,2,5,Low,High,3.8
92396.0,1632,20526.87,5,3,High,Low,3.8
87061.0,1012,31182.17,2,5,Low,High,3.8
51590.0,2032,20543.66,5,3,High,Low,3.8
87118.0,1969,21166.02,5,3,High,Low,3.8
51546.0,989,33251.66,2,5,Low,High,3.8
89771.0,959,31747.12,2,5,Low,High,3.8
87217.0,1995,22347.61,5,3,High,Low,3.8
89770.0,1696,20426.67,5,3,High,Low,3.8
87308.0,1736,22631.28,5,3,High,Low,3.8
31155.0,1727,20707.32,5,3,High,Low,3.8
9579.0,1734,21579.71,5,3,High,Low,3.8
51292.0,1628,22242.08,5,3,High,Low,3.8
9480.0,1872,21499.49,5,3,High,Low,3.8
87388.0,1061,31173.5,2,5,Low,High,3.8
31299.0,1764,20463.39,5,3,High,Low,3.8
48694.0,1757,21191.18,5,3,High,Low,3.8
51185.0,1781,20240.15,5,3,High,Low,3.8
9399.0,1713,22305.72,5,3,High,Low,3.8
32754.0,977,34683.52,2,5,Low,High,3.8
8164.0,1920,21650.44,5,3,High,Low,3.8
87768.0,996,30813.33,2,5,Low,High,3.8
48810.0,992,34040.39,2,5,Low,High,3.8
51697.0,1002,30952.13,2,5,Low,High,3.8
9983.0,1630,21154.19,5,3,High,Low,3.8
86899.0,1949,20452.51,5,3,High,Low,3.8
32891.0,1062,32649.63,2,5,Low,High,3.8
86554.0,2072,21921.41,5,3,High,Low,3.8
10259.0,1637,21842.23,5,3,High,Low,3.8
7851.0,1843,19859.21,5,3,High,Low,3.8
10253.0,1797,20128.04,5,3,High,Low,3.8
7857.0,1045,37254.25,2,5,Low,High,3.8
90105.0,1905,21164.18,5,3,High,Low,3.8
7877.0,1630,22014.78,5,3,High,Low,3.8
7964.0,1832,19814.11,5,3,High,Low,3.8
86624.0,1864,20158.6,5,3,High,Low,3.8
86782.0,1727,21842.86,5,3,High,Low,3.8
51736.0,1754,20414.15,5,3,High,Low,3.8
30760.0,1734,20796.52,5,3,High,Low,3.8
89980.0,1604,19856.97,5,3,High,Low,3.8
89974.0,1064,34889.75,2,5,Low,High,3.8
51950.0,1012,31658.96,2,5,Low,High,3.8
48449.0,1831,22551.4,5,3,High,Low,3.8
89967.0,2125,21091.55,5,3,High,Low,3.8
86881.0,1671,20972.61,5,3,High,Low,3.8
48490.0,1967,22181.48,5,3,High,Low,3.8
51751.0,1847,22982.79,5,3,High,High,3.8
50933.0,2144,21903.06,5,3,High,Low,3.8
32649.0,961,35460.17,2,5,Low,High,3.8
87971.0,1977,21776.77,5,3,High,Low,3.8
89061.0,1663,20755.95,5,3,High,Low,3.8
49850.0,1076,30484.14,2,5,Low,High,3.8
89210.0,1020,37608.3,2,5,Low,High,3.8
49786.0,975,31070.27,2,5,Low,High,3.8
32345.0,1677,22482.94,5,3,High,Low,3.8
49762.0,980,31589.66,2,5,Low,High,3.8
31949.0,1765,22529.49,5,3,High,Low,3.8
31957.0,1719,20521.22,5,3,High,Low,3.8
49705.0,964,32764.36,2,5,Low,High,3.8
49690.0,1884,21607.64,5,3,High,Low,3.8
89050.0,1077,36003.51,2,5,Low,High,3.8
49855.0,2121,20859.31,5,3,High,Low,3.8
88721.0,1737,20774.45,5,3,High,Low,3.8
88957.0,1077,32936.74,2,5,Low,High,3.8
8668.0,1052,31287.99,2,5,Low,High,3.8
88863.0,1677,21525.85,5,3,High,Low,3.8
49531.0,1652,20347.44,5,3,High,Low,3.8
32197.0,1676,19786.18,5,3,High,Low,3.8
88746.0,1695,20882.81,5,3,High,Low,3.8
8474.0,1027,33945.52,2,5,Low,High,3.8
88860.0,1695,19837.9,5,3,High,Low,3.8
88389.0,1751,22747.04,5,3,High,Low,3.8
49880.0,1647,22337.4,5,3,High,Low,3.8
89530.0,1029,30624.1,2,5,Low,High,3.8
8260.0,1065,32289.67,2,5,Low,High,3.8
32635.0,2130,21721.02,5,3,High,Low,3.8
89485.0,1062,32747.05,2,5,Low,High,3.8
50781.0,1682,19998.57,5,3,High,Low,3.8
48924.0,2011,21611.32,5,3,High,Low,3.8
48935.0,2060,21954.08,5,3,High,Low,3.8
31551.0,2044,20033.81,5,3,High,Low,3.8
9162.0,1001,35657.59,2,5,Low,High,3.8
9141.0,1026,31378.23,2,5,Low,High,3.8
89451.0,1822,21139.08,5,3,High,Low,3.8
50563.0,1024,36379.52,2,5,Low,High,3.8
8296.0,986,31623.27,2,5,Low,High,3.8
50562.0,1802,21253.13,5,3,High,Low,3.8
50531.0,2044,22982.07,5,3,High,High,3.8
9041.0,1938,21789.06,5,3,High,Low,3.8
48997.0,1700,22023.57,5,3,High,Low,3.8
50421.0,1786,21387.59,5,3,High,Low,3.8
32452.0,1653,22282.86,5,3,High,Low,3.8
50234.0,2240,22975.0,5,3,High,High,3.8
89350.0,1876,20918.5,5,3,High,Low,3.8
49153.0,1782,21373.62,5,3,High,Low,3.8
90176.0,1665,22062.21,5,3,High,Low,3.8
52287.0,1060,31597.09,2,5,Low,High,3.8
52295.0,1085,33245.83,2,5,Low,High,3.8
84336.0,1707,21163.47,5,3,High,Low,3.8
84143.0,1637,20762.4,5,3,High,Low,3.8
29403.0,2329,21547.81,5,3,High,Low,3.8
7088.0,1708,22728.77,5,3,High,Low,3.8
84151.0,1068,32969.22,2,5,Low,High,3.8
84162.0,1741,21777.4,5,3,High,Low,3.8
53806.0,993,32270.83,2,5,Low,High,3.8
26262.0,1073,30543.77,2,5,Low,High,3.8
91294.0,1021,38089.12,2,5,Low,High,3.8
29460.0,2147,21542.89,5,3,High,Low,3.8
53677.0,1072,31373.94,2,5,Low,High,3.8
33732.0,1954,20760.0,5,3,High,Low,3.8
53625.0,988,33926.11,2,5,Low,High,3.8
53615.0,2011,22210.86,5,3,High,Low,3.8
53592.0,1009,31769.21,2,5,Low,High,3.8
33594.0,1041,31064.09,2,5,Low,High,3.8
84437.0,1822,22991.17,5,3,High,High,3.8
53525.0,1726,19825.46,5,3,High,Low,3.8
84579.0,2222,21157.6,5,3,High,Low,3.8
84613.0,1639,21269.78,5,3,High,Low,3.8
11239.0,1608,22650.2,5,3,High,Low,3.8
84136.0,1702,21208.03,5,3,High,Low,3.8
84051.0,1085,31288.68,2,5,Low,High,3.8
53453.0,1004,32069.58,2,5,Low,High,3.8
6517.0,1724,22626.93,5,3,High,Low,3.8
46895.0,994,31013.27,2,5,Low,High,3.8
29038.0,1736,22542.63,5,3,High,Low,3.8
29051.0,1759,22668.37,5,3,High,Low,3.8
46896.0,1984,20494.14,5,3,High,Low,3.8
34046.0,1037,34286.35,2,5,Low,High,3.8
54640.0,1963,20481.31,5,3,High,Low,3.8
29111.0,1027,35252.97,2,5,Low,High,3.8
6459.0,1866,20040.81,5,3,High,Low,3.8
83585.0,1603,20899.75,5,3,High,Low,3.8
54397.0,1697,21030.08,5,3,High,Low,3.8
33768.0,957,30605.98,2,5,Low,High,3.8
54369.0,1945,21173.87,5,3,High,Low,3.8
83681.0,993,32770.86,2,5,Low,High,3.8
92210.0,999,31024.96,2,5,Low,High,3.8
6679.0,1013,34786.09,2,5,Low,High,3.8
33899.0,2131,20618.85,5,3,High,Low,3.8
83789.0,1036,32740.54,2,5,Low,High,3.8
92061.0,1597,22363.18,5,3,High,Low,3.8
33875.0,1053,31110.72,2,5,Low,High,3.8
91761.0,1703,20636.18,5,3,High,Low,3.8
29708.0,1658,21942.88,5,3,High,Low,3.8
53449.0,987,34331.7,2,5,Low,High,3.8
10410.0,1042,32980.95,2,5,Low,High,3.8
86121.0,1834,20707.22,5,3,High,Low,3.8
10813.0,1769,22875.45,5,3,High,Low,3.8
10765.0,959,30904.95,2,5,Low,High,3.8
30208.0,1016,32611.86,2,5,Low,High,3.8
90613.0,2144,20630.94,5,3,High,Low,3.8
90601.0,1071,31311.47,2,5,Low,High,3.8
85883.0,1883,20836.15,5,3,High,Low,3.8
33192.0,1037,30486.07,2,5,Low,High,3.8
52704.0,1772,21424.4,5,3,High,Low,3.8
85983.0,1694,22668.74,5,3,High,Low,3.8
30292.0,1709,20856.2,5,3,High,Low,3.8
10826.0,2030,19609.97,5,3,High,Low,3.8
10581.0,1783,22412.23,5,3,High,Low,3.8
48058.0,1823,20916.56,5,3,High,Low,3.8
52614.0,1774,20259.92,5,3,High,Low,3.8
86194.0,2207,22620.91,5,3,High,Low,3.8
52561.0,2281,22880.63,5,3,High,Low,3.8
10514.0,1759,20710.8,5,3,High,Low,3.8
90408.0,1966,21024.17,5,3,High,Low,3.8
48200.0,1700,22145.14,5,3,High,Low,3.8
10451.0,1031,31147.68,2,5,Low,High,3.8
52871.0,1987,22934.35,5,3,High,High,3.8
10855.0,1081,30643.24,2,5,Low,High,3.8
84757.0,1049,34668.95,2,5,Low,High,3.8
91096.0,1599,21774.92,5,3,High,Low,3.8
47665.0,1076,32571.56,2,5,Low,High,3.8
84803.0,1027,34918.08,2,5,Low,High,3.8
11183.0,1060,32132.79,2,5,Low,High,3.8
91258.0,1053,34303.42,2,5,Low,High,3.8
33571.0,1795,21459.2,5,3,High,Low,3.8
68337.0,1018,33885.54,2,5,Low,High,3.8
91186.0,1080,38912.68,2,5,Low,High,3.8
29936.0,959,30660.69,2,5,Low,High,3.8
47738.0,1048,30993.69,2,5,Low,High,3.8
53165.0,1857,22963.98,5,3,High,High,3.8
10866.0,1634,20094.26,5,3,High,Low,3.8
11100.0,1004,30892.08,2,5,Low,High,3.8
47827.0,1835,21201.99,5,3,High,Low,3.8
53055.0,961,35379.03,2,5,Low,High,3.8
7301.0,1975,20828.86,5,3,High,Low,3.8
7395.0,1688,21478.46,5,3,High,Low,3.8
52964.0,1028,31658.38,2,5,Low,High,3.8
33411.0,1056,31140.25,2,5,Low,High,3.8
85519.0,1036,35292.55,2,5,Low,High,3.8
90764.0,1620,19850.98,5,3,High,Low,3.8
94948.0,1088,30516.6,2,5,Low,High,3.8
26173.0,1903,20812.2,5,3,High,Low,3.8
