from_totally_fake_account,Z-score_count,IQR_count,Isolation_Forest_count,Total_anomalies,risk_level
35543,0,0,0,0,low-risk
35551,12,139,177,328,medium-high-risk
35552,12,108,129,249,medium-high-risk
35556,0,0,0,0,low-risk
3556,0,0,0,0,low-risk
35565,42,147,194,383,high-risk
35572,0,0,0,0,low-risk
3559,21,127,189,337,high-risk
35590,0,0,0,0,low-risk
35599,12,75,102,189,medium-low-risk
3560,0,0,0,0,low-risk
35600,0,0,0,0,low-risk
35614,12,91,124,227,medium-low-risk
35616,0,0,0,0,low-risk
35625,47,212,219,478,high-risk
35630,23,70,192,285,medium-high-risk
35632,12,91,133,236,medium-low-risk
35646,29,124,217,370,high-risk
35659,17,187,232,436,high-risk
35664,12,135,148,295,medium-high-risk
35669,0,0,0,0,low-risk
35675,0,0,0,0,low-risk
35681,0,0,0,0,low-risk
35683,0,0,0,0,low-risk
35691,12,98,156,266,medium-high-risk
35693,12,106,134,252,medium-high-risk
35705,0,0,0,0,low-risk
35708,0,0,0,0,low-risk
35709,12,190,275,477,high-risk
35715,0,0,0,0,low-risk
35726,0,0,0,0,low-risk
35743,0,0,0,0,low-risk
35746,17,121,154,292,medium-high-risk
35747,11,159,185,355,high-risk
3575,12,155,205,372,high-risk
35762,12,156,210,378,high-risk
3577,14,135,201,350,high-risk
35774,12,135,152,299,medium-high-risk
35781,37,154,204,395,high-risk
3580,26,89,137,252,medium-high-risk
35802,40,136,381,557,high-risk
35806,0,0,0,0,low-risk
35812,0,0,0,0,low-risk
35813,12,61,106,179,medium-low-risk
3582,16,101,149,266,medium-high-risk
35820,11,143,159,313,medium-high-risk
35823,31,105,165,301,medium-high-risk
35828,0,0,0,0,low-risk
35837,18,80,115,213,medium-low-risk
35840,12,163,237,412,high-risk
35843,0,0,0,0,low-risk
35851,18,117,158,293,medium-high-risk
35855,11,138,184,333,high-risk
35875,13,126,168,307,medium-high-risk
35880,0,0,0,0,low-risk
35883,12,81,139,232,medium-low-risk
35900,12,119,158,289,medium-high-risk
35915,12,159,199,370,high-risk
35916,0,0,0,0,low-risk
3592,0,0,0,0,low-risk
35930,0,0,0,0,low-risk
35931,0,0,0,0,low-risk
35940,12,134,185,331,high-risk
35944,12,74,127,213,medium-low-risk
35953,40,132,194,366,high-risk
35960,16,96,123,235,medium-low-risk
35961,12,134,210,356,high-risk
35965,0,0,0,0,low-risk
35966,0,0,0,0,low-risk
35972,0,0,0,0,low-risk
35976,12,128,198,338,high-risk
3598,0,0,0,0,low-risk
35982,21,132,189,342,high-risk
35983,0,0,0,0,low-risk
3599,12,127,145,284,medium-high-risk
36007,0,0,0,0,low-risk
36015,12,129,213,354,high-risk
3602,13,120,195,328,medium-high-risk
3603,0,0,0,0,low-risk
36034,0,0,0,0,low-risk
36035,12,131,164,307,medium-high-risk
36041,0,0,0,0,low-risk
36044,0,0,0,0,low-risk
36067,12,120,108,240,medium-low-risk
36073,12,168,202,382,high-risk
36079,0,0,0,0,low-risk
36083,12,138,217,367,high-risk
36109,0,0,0,0,low-risk
3611,0,0,0,0,low-risk
36110,0,0,0,0,low-risk
36117,13,188,252,453,high-risk
36119,0,0,0,0,low-risk
36130,20,117,178,315,medium-high-risk
36138,0,0,0,0,low-risk
36143,0,0,0,0,low-risk
36145,12,86,136,234,medium-low-risk
3615,17,147,191,355,high-risk
36150,68,193,242,503,high-risk
36160,11,94,96,201,medium-low-risk
36164,0,0,0,0,low-risk
36179,12,277,313,602,high-risk
36184,0,0,0,0,low-risk
36185,0,0,0,0,low-risk
36188,0,0,0,0,low-risk
36194,0,0,0,0,low-risk
36201,0,0,0,0,low-risk
36202,24,105,155,284,medium-high-risk
36205,16,120,158,294,medium-high-risk
36227,14,98,122,234,medium-low-risk
3624,0,0,0,0,low-risk
36265,0,0,0,0,low-risk
36269,0,0,0,0,low-risk
36270,12,127,152,291,medium-high-risk
36276,12,134,112,258,medium-high-risk
36280,30,135,188,353,high-risk
36283,0,0,0,0,low-risk
36284,0,0,0,0,low-risk
36285,12,141,161,314,medium-high-risk
36291,16,98,140,254,medium-high-risk
36292,0,0,0,0,low-risk
36296,0,0,0,0,low-risk
36316,16,163,208,387,high-risk
36320,0,0,0,0,low-risk
36322,0,0,0,0,low-risk
36335,24,123,153,300,medium-high-risk
36338,0,0,0,0,low-risk
3634,23,127,173,323,medium-high-risk
36346,0,0,0,0,low-risk
36347,0,0,0,0,low-risk
36350,18,115,165,298,medium-high-risk
36352,30,148,249,427,high-risk
36353,16,140,165,321,medium-high-risk
36360,0,0,0,0,low-risk
36379,12,93,124,229,medium-low-risk
3638,25,130,159,314,medium-high-risk
36380,27,112,183,322,medium-high-risk
36391,24,124,182,330,high-risk
36393,12,141,160,313,medium-high-risk
36399,0,0,0,0,low-risk
36402,12,152,95,259,medium-high-risk
36409,27,158,228,413,high-risk
36416,12,130,137,279,medium-high-risk
36417,12,120,153,285,medium-high-risk
3642,31,105,174,310,medium-high-risk
36424,0,0,0,0,low-risk
36426,41,214,326,581,high-risk
36430,0,0,0,0,low-risk
36436,16,79,131,226,medium-low-risk
36437,0,0,0,0,low-risk
36440,12,156,184,352,high-risk
36450,0,0,0,0,low-risk
36460,12,144,213,369,high-risk
3648,0,0,0,0,low-risk
3650,38,91,164,293,medium-high-risk
36501,24,124,163,311,medium-high-risk
36502,15,110,154,279,medium-high-risk
36510,15,114,160,289,medium-high-risk
36513,0,0,0,0,low-risk
36523,26,153,207,386,high-risk
36540,23,88,172,283,medium-high-risk
36541,0,0,0,0,low-risk
36543,0,0,0,0,low-risk
36544,12,86,126,224,medium-low-risk
36550,0,0,0,0,low-risk
36555,0,0,0,0,low-risk
36556,12,123,161,296,medium-high-risk
36566,0,0,0,0,low-risk
3657,0,0,0,0,low-risk
36570,25,136,182,343,high-risk
36573,0,0,0,0,low-risk
36580,12,114,186,312,medium-high-risk
36585,0,0,0,0,low-risk
36587,0,0,0,0,low-risk
36596,0,0,0,0,low-risk
36611,0,0,0,0,low-risk
36614,0,0,0,0,low-risk
36638,0,0,0,0,low-risk
36642,14,146,187,347,high-risk
36647,12,127,141,280,medium-high-risk
36648,18,90,163,271,medium-high-risk
36655,0,0,0,0,low-risk
36659,26,130,165,321,medium-high-risk
36660,16,120,171,307,medium-high-risk
36669,12,59,106,177,medium-low-risk
36688,0,0,0,0,low-risk
36694,0,0,0,0,low-risk
36713,0,0,0,0,low-risk
36724,0,0,0,0,low-risk
36725,12,141,234,387,high-risk
36732,22,91,168,281,medium-high-risk
36733,12,78,119,209,medium-low-risk
36740,0,0,0,0,low-risk
36741,0,0,0,0,low-risk
3675,14,120,177,311,medium-high-risk
36754,12,163,213,388,high-risk
36757,36,145,202,383,high-risk
36760,11,87,186,284,medium-high-risk
36773,26,94,145,265,medium-high-risk
36776,0,0,0,0,low-risk
36779,0,0,0,0,low-risk
36798,13,86,133,232,medium-low-risk
3680,0,0,0,0,low-risk
36802,19,99,173,291,medium-high-risk
36815,12,88,136,236,medium-low-risk
36833,21,108,138,267,medium-high-risk
36838,14,97,150,261,medium-high-risk
36840,18,67,109,194,medium-low-risk
36855,20,136,246,402,high-risk
36856,11,108,151,270,medium-high-risk
36877,33,155,177,365,high-risk
36888,14,159,225,398,high-risk
36893,12,87,112,211,medium-low-risk
36905,0,0,0,0,low-risk
36919,33,183,285,501,high-risk
36923,43,149,233,425,high-risk
36929,13,81,130,224,medium-low-risk
36933,0,0,0,0,low-risk
3694,12,97,137,246,medium-high-risk
36964,12,130,155,297,medium-high-risk
36969,0,0,0,0,low-risk
36997,0,0,0,0,low-risk
37009,12,139,167,318,medium-high-risk
37014,19,75,116,210,medium-low-risk
37025,0,0,0,0,low-risk
3704,12,117,104,233,medium-low-risk
37074,18,118,160,296,medium-high-risk
37080,13,139,230,382,high-risk
37083,17,64,130,211,medium-low-risk
37094,22,177,236,435,high-risk
37098,0,0,0,0,low-risk
37100,12,75,99,186,medium-low-risk
37105,0,0,0,0,low-risk
37108,0,0,0,0,low-risk
37109,0,0,0,0,low-risk
37117,0,0,0,0,low-risk
3712,12,120,143,275,medium-high-risk
37139,39,181,242,462,high-risk
37145,12,145,153,310,medium-high-risk
37152,12,128,157,297,medium-high-risk
37155,0,0,0,0,low-risk
37177,27,113,155,295,medium-high-risk
37186,0,0,0,0,low-risk
37187,0,0,0,0,low-risk
37200,27,90,242,359,high-risk
37202,0,0,0,0,low-risk
37205,44,150,243,437,high-risk
37223,12,136,232,380,high-risk
37225,22,151,206,379,high-risk
37231,0,0,0,0,low-risk
37235,14,173,217,404,high-risk
37245,12,116,144,272,medium-high-risk
37248,0,0,0,0,low-risk
37249,44,131,199,374,high-risk
3725,0,0,0,0,low-risk
37250,12,155,188,355,high-risk
37259,0,0,0,0,low-risk
37260,12,165,249,426,high-risk
37261,0,0,0,0,low-risk
37263,12,106,114,232,medium-low-risk
37272,34,143,186,363,high-risk
37275,0,0,0,0,low-risk
37281,12,136,150,298,medium-high-risk
37285,20,82,142,244,medium-low-risk
3729,0,0,0,0,low-risk
37305,20,125,165,310,medium-high-risk
37310,0,0,0,0,low-risk
37319,0,0,0,0,low-risk
37340,17,87,138,242,medium-low-risk
37345,0,0,0,0,low-risk
37368,0,0,0,0,low-risk
37379,0,0,0,0,low-risk
37383,32,166,210,408,high-risk
37389,0,0,0,0,low-risk
37418,0,0,0,0,low-risk
37422,0,0,0,0,low-risk
37425,25,180,211,416,high-risk
37432,15,92,172,279,medium-high-risk
37438,0,0,0,0,low-risk
37458,0,0,0,0,low-risk
37468,0,0,0,0,low-risk
3747,0,0,0,0,low-risk
37490,12,130,166,308,medium-high-risk
37493,0,0,0,0,low-risk
37495,12,147,138,297,medium-high-risk
37498,0,0,0,0,low-risk
37500,12,113,157,282,medium-high-risk
37501,0,0,0,0,low-risk
37507,28,143,265,436,high-risk
37519,42,148,180,370,high-risk
37524,13,81,120,214,medium-low-risk
37526,12,90,121,223,medium-low-risk
37530,14,87,126,227,medium-low-risk
37534,0,0,0,0,low-risk
37535,0,0,0,0,low-risk
37538,13,100,141,254,medium-high-risk
37539,12,92,102,206,medium-low-risk
37555,0,0,0,0,low-risk
37560,0,0,0,0,low-risk
37593,12,179,233,424,high-risk
37596,12,167,187,366,high-risk
3760,0,0,0,0,low-risk
37613,0,0,0,0,low-risk
37618,12,98,125,235,medium-low-risk
37633,21,106,157,284,medium-high-risk
3765,12,111,221,344,high-risk
37652,0,0,0,0,low-risk
37653,12,166,209,387,high-risk
37671,12,155,178,345,high-risk
37675,0,0,0,0,low-risk
37681,0,0,0,0,low-risk
37684,12,89,128,229,medium-low-risk
37687,16,155,196,367,high-risk
37688,29,129,172,330,high-risk
37707,41,166,221,428,high-risk
37727,31,93,160,284,medium-high-risk
37731,0,0,0,0,low-risk
37739,16,106,160,282,medium-high-risk
3776,12,129,108,249,medium-high-risk
37762,0,0,0,0,low-risk
37764,18,183,206,407,high-risk
37765,16,136,199,351,high-risk
37766,0,0,0,0,low-risk
37775,12,101,143,256,medium-high-risk
37783,12,84,102,198,medium-low-risk
37801,0,0,0,0,low-risk
37802,0,0,0,0,low-risk
37805,0,0,0,0,low-risk
37807,0,0,0,0,low-risk
37817,0,0,0,0,low-risk
37820,41,184,213,438,high-risk
37822,0,0,0,0,low-risk
37827,21,137,179,337,high-risk
37832,12,128,167,307,medium-high-risk
37855,0,0,0,0,low-risk
3786,12,125,150,287,medium-high-risk
37882,24,90,150,264,medium-high-risk
37884,0,0,0,0,low-risk
3789,0,0,0,0,low-risk
37897,12,132,214,358,high-risk
37901,12,128,141,281,medium-high-risk
37910,0,0,0,0,low-risk
37913,12,105,147,264,medium-high-risk
37918,19,117,152,288,medium-high-risk
37919,14,99,141,254,medium-high-risk
37922,12,157,195,364,high-risk
37923,0,0,0,0,low-risk
37924,12,147,98,257,medium-high-risk
37931,0,0,0,0,low-risk
37934,12,162,162,336,high-risk
37949,12,170,244,426,high-risk
3795,14,126,219,359,high-risk
37953,12,99,131,242,medium-low-risk
37963,12,154,188,354,high-risk
37969,0,0,0,0,low-risk
37978,41,158,209,408,high-risk
37984,0,0,0,0,low-risk
37988,12,172,187,371,high-risk
37990,12,181,229,422,high-risk
37992,0,0,0,0,low-risk
37998,0,0,0,0,low-risk
3800,20,144,193,357,high-risk
38018,13,136,221,370,high-risk
38019,0,0,0,0,low-risk
38020,18,196,261,475,high-risk
38026,12,133,185,330,high-risk
38031,12,154,186,352,high-risk
38032,0,0,0,0,low-risk
38044,0,0,0,0,low-risk
38045,0,0,0,0,low-risk
38048,54,214,291,559,high-risk
38051,18,72,118,208,medium-low-risk
38056,12,155,191,358,high-risk
38057,20,106,153,279,medium-high-risk
38062,0,0,0,0,low-risk
38067,12,130,157,299,medium-high-risk
38084,0,0,0,0,low-risk
38086,15,93,140,248,medium-high-risk
38095,0,0,0,0,low-risk
38102,0,0,0,0,low-risk
38106,0,0,0,0,low-risk
38109,0,0,0,0,low-risk
38111,0,0,0,0,low-risk
38114,12,170,207,389,high-risk
38120,15,107,156,278,medium-high-risk
38136,12,88,102,202,medium-low-risk
38145,12,111,147,270,medium-high-risk
38147,0,0,0,0,low-risk
38171,18,136,219,373,high-risk
3818,0,0,0,0,low-risk
38181,0,0,0,0,low-risk
38184,24,123,165,312,medium-high-risk
38187,12,98,118,228,medium-low-risk
38188,39,133,210,382,high-risk
38193,12,89,116,217,medium-low-risk
38199,21,148,197,366,high-risk
38201,0,0,0,0,low-risk
38203,0,0,0,0,low-risk
38214,12,148,282,442,high-risk
38216,0,0,0,0,low-risk
38219,0,0,0,0,low-risk
3822,34,127,193,354,high-risk
38226,12,180,189,381,high-risk
38232,12,133,150,295,medium-high-risk
38240,12,124,215,351,high-risk
38247,12,153,166,331,high-risk
38250,0,0,0,0,low-risk
38288,12,144,209,365,high-risk
38289,12,112,149,273,medium-high-risk
38292,14,100,138,252,medium-high-risk
38298,0,0,0,0,low-risk
38302,18,145,210,373,high-risk
38315,42,152,201,395,high-risk
38317,0,0,0,0,low-risk
38320,12,113,121,246,medium-high-risk
38353,0,0,0,0,low-risk
38359,11,143,185,339,high-risk
3836,0,0,0,0,low-risk
38364,0,0,0,0,low-risk
38365,12,100,131,243,medium-low-risk
38369,19,110,204,333,high-risk
38372,12,150,182,344,high-risk
38378,0,0,0,0,low-risk
3838,12,112,134,258,medium-high-risk
38394,12,158,235,405,high-risk
38396,0,0,0,0,low-risk
38398,0,0,0,0,low-risk
38408,12,124,144,280,medium-high-risk
38417,0,0,0,0,low-risk
38419,26,116,188,330,high-risk
38429,14,113,156,283,medium-high-risk
38430,0,0,0,0,low-risk
38433,19,99,160,278,medium-high-risk
38435,15,103,175,293,medium-high-risk
38447,0,0,0,0,low-risk
38448,12,148,188,348,high-risk
38455,12,139,214,365,high-risk
38456,0,0,0,0,low-risk
38459,0,0,0,0,low-risk
38461,25,111,158,294,medium-high-risk
38470,0,0,0,0,low-risk
38476,11,175,194,380,high-risk
38480,42,122,160,324,medium-high-risk
3849,0,0,0,0,low-risk
38494,12,167,209,388,high-risk
38503,0,0,0,0,low-risk
38512,0,0,0,0,low-risk
38514,0,0,0,0,low-risk
38516,0,0,0,0,low-risk
38526,15,137,176,328,medium-high-risk
3853,0,0,0,0,low-risk
38533,22,132,169,323,medium-high-risk
38534,35,139,174,348,high-risk
38548,0,0,0,0,low-risk
38552,12,152,190,354,high-risk
38558,0,0,0,0,low-risk
38562,0,0,0,0,low-risk
3857,0,0,0,0,low-risk
38573,0,0,0,0,low-risk
38580,12,128,143,283,medium-high-risk
38583,11,105,100,216,medium-low-risk
38602,0,0,0,0,low-risk
38617,0,0,0,0,low-risk
38620,0,0,0,0,low-risk
38625,19,80,123,222,medium-low-risk
38646,12,172,201,385,high-risk
38651,12,173,207,392,high-risk
38652,0,0,0,0,low-risk
38656,0,0,0,0,low-risk
38659,14,140,246,400,high-risk
38663,33,142,203,378,high-risk
38674,0,0,0,0,low-risk
38677,0,0,0,0,low-risk
3868,34,164,206,404,high-risk
38686,0,0,0,0,low-risk
38687,0,0,0,0,low-risk
38707,12,163,204,379,high-risk
38709,13,164,195,372,high-risk
38711,0,0,0,0,low-risk
38712,25,148,178,351,high-risk
38719,0,0,0,0,low-risk
38731,0,0,0,0,low-risk
38736,0,0,0,0,low-risk
38742,19,117,183,319,medium-high-risk
38744,0,0,0,0,low-risk
38745,12,111,141,264,medium-high-risk
38747,12,111,101,224,medium-low-risk
38748,22,88,200,310,medium-high-risk
38759,0,0,0,0,low-risk
38764,26,131,188,345,high-risk
38770,0,0,0,0,low-risk
38780,13,110,191,314,medium-high-risk
38790,12,117,147,276,medium-high-risk
38797,12,133,162,307,medium-high-risk
3880,13,102,169,284,medium-high-risk
38803,0,0,0,0,low-risk
38807,0,0,0,0,low-risk
38813,0,0,0,0,low-risk
38820,43,165,229,437,high-risk
3884,0,0,0,0,low-risk
38841,0,0,0,0,low-risk
38858,12,125,175,312,medium-high-risk
3887,0,0,0,0,low-risk
38872,0,0,0,0,low-risk
38878,0,0,0,0,low-risk
38881,12,156,111,279,medium-high-risk
3889,0,0,0,0,low-risk
38899,0,0,0,0,low-risk
3890,54,136,190,380,high-risk
38905,21,84,131,236,medium-low-risk
38906,12,163,193,368,high-risk
38917,0,0,0,0,low-risk
38927,0,0,0,0,low-risk
38930,0,0,0,0,low-risk
3896,33,172,228,433,high-risk
38962,15,119,171,305,medium-high-risk
38966,38,124,170,332,high-risk
38968,0,0,0,0,low-risk
38982,12,115,150,277,medium-high-risk
38983,26,144,212,382,high-risk
38984,12,166,175,353,high-risk
38986,12,122,215,349,high-risk
39000,0,0,0,0,low-risk
39009,0,0,0,0,low-risk
39017,20,102,169,291,medium-high-risk
39019,0,0,0,0,low-risk
39024,0,0,0,0,low-risk
39027,15,153,229,397,high-risk
39033,12,156,182,350,high-risk
39034,12,129,142,283,medium-high-risk
39037,12,109,155,276,medium-high-risk
39040,12,122,156,290,medium-high-risk
3905,12,108,217,337,high-risk
39054,0,0,0,0,low-risk
39057,0,0,0,0,low-risk
39063,0,0,0,0,low-risk
39065,0,0,0,0,low-risk
3907,20,105,156,281,medium-high-risk
39074,0,0,0,0,low-risk
39077,0,0,0,0,low-risk
39078,17,213,150,380,high-risk
39083,28,135,177,340,high-risk
39097,12,132,84,228,medium-low-risk
39101,27,124,180,331,high-risk
39108,13,158,232,403,high-risk
39111,21,136,150,307,medium-high-risk
39119,12,117,143,272,medium-high-risk
39125,0,0,0,0,low-risk
39129,12,118,127,257,medium-high-risk
3913,0,0,0,0,low-risk
39131,28,131,172,331,high-risk
39132,0,0,0,0,low-risk
39140,0,0,0,0,low-risk
39142,0,0,0,0,low-risk
39151,13,150,204,367,high-risk
39158,0,0,0,0,low-risk
39160,12,132,147,291,medium-high-risk
39179,0,0,0,0,low-risk
39180,0,0,0,0,low-risk
39181,0,0,0,0,low-risk
39184,0,0,0,0,low-risk
39190,12,118,138,268,medium-high-risk
39192,14,136,217,367,high-risk
39194,0,0,0,0,low-risk
3921,0,0,0,0,low-risk
39218,42,116,151,309,medium-high-risk
3922,0,0,0,0,low-risk
39230,0,0,0,0,low-risk
39233,26,123,179,328,medium-high-risk
39239,17,132,159,308,medium-high-risk
39241,0,0,0,0,low-risk
39252,31,121,173,325,medium-high-risk
39255,0,0,0,0,low-risk
39262,29,91,154,274,medium-high-risk
39282,0,0,0,0,low-risk
39296,0,0,0,0,low-risk
39298,23,163,218,404,high-risk
39300,20,112,120,252,medium-high-risk
39301,13,147,221,381,high-risk
39315,12,116,135,263,medium-high-risk
39316,13,89,139,241,medium-low-risk
39319,0,0,0,0,low-risk
39321,20,117,160,297,medium-high-risk
39326,0,0,0,0,low-risk
39327,0,0,0,0,low-risk
39335,12,114,157,283,medium-high-risk
3934,12,123,158,293,medium-high-risk
39347,12,133,154,299,medium-high-risk
39350,0,0,0,0,low-risk
39354,14,87,104,205,medium-low-risk
39369,0,0,0,0,low-risk
39370,0,0,0,0,low-risk
39372,29,136,167,332,high-risk
39377,0,0,0,0,low-risk
39380,0,0,0,0,low-risk
39383,27,119,170,316,medium-high-risk
39387,0,0,0,0,low-risk
39388,12,143,167,322,medium-high-risk
3939,15,117,239,371,high-risk
39390,0,0,0,0,low-risk
39399,12,201,117,330,high-risk
39416,15,83,116,214,medium-low-risk
39417,0,0,0,0,low-risk
39427,12,82,81,175,medium-low-risk
39437,30,149,180,359,high-risk
39442,0,0,0,0,low-risk
39452,22,119,187,328,medium-high-risk
39464,11,137,160,308,medium-high-risk
39467,15,75,106,196,medium-low-risk
39470,12,108,194,314,medium-high-risk
39483,12,178,219,409,high-risk
39495,12,111,148,271,medium-high-risk
39498,23,116,159,298,medium-high-risk
39501,0,0,0,0,low-risk
39504,0,0,0,0,low-risk
39511,23,135,183,341,high-risk
39512,0,0,0,0,low-risk
39517,0,0,0,0,low-risk
39518,12,131,191,334,high-risk
39521,12,135,161,308,medium-high-risk
39527,26,152,199,377,high-risk
39532,0,0,0,0,low-risk
39540,20,118,164,302,medium-high-risk
39543,18,189,209,416,high-risk
39551,0,0,0,0,low-risk
39555,12,108,176,296,medium-high-risk
39563,0,0,0,0,low-risk
39565,14,142,189,345,high-risk
39566,12,177,223,412,high-risk
39567,12,105,209,326,medium-high-risk
39569,0,0,0,0,low-risk
39570,0,0,0,0,low-risk
39577,12,84,76,172,medium-low-risk
3958,13,76,111,200,medium-low-risk
39583,0,0,0,0,low-risk
39589,23,186,241,450,high-risk
39595,31,168,255,454,high-risk
39596,44,152,297,493,high-risk
39597,12,132,164,308,medium-high-risk
39605,12,131,139,282,medium-high-risk
39618,33,149,232,414,high-risk
39624,0,0,0,0,low-risk
39637,12,114,166,292,medium-high-risk
39654,0,0,0,0,low-risk
39673,0,0,0,0,low-risk
39676,21,127,165,313,medium-high-risk
39679,0,0,0,0,low-risk
39680,23,84,174,281,medium-high-risk
39683,12,132,162,306,medium-high-risk
39686,0,0,0,0,low-risk
39688,12,148,174,334,high-risk
39689,0,0,0,0,low-risk
39690,12,96,155,263,medium-high-risk
39698,12,122,157,291,medium-high-risk
3970,12,119,167,298,medium-high-risk
39706,12,121,192,325,medium-high-risk
39707,12,63,84,159,medium-low-risk
39722,0,0,0,0,low-risk
39733,12,161,177,350,high-risk
39736,13,134,201,348,high-risk
39738,0,0,0,0,low-risk
39739,19,107,143,269,medium-high-risk
39754,26,143,200,369,high-risk
39760,0,0,0,0,low-risk
39764,0,0,0,0,low-risk
39779,12,147,176,335,high-risk
39780,26,161,215,402,high-risk
39782,12,117,166,295,medium-high-risk
39803,35,147,187,369,high-risk
39817,12,135,168,315,medium-high-risk
39825,0,0,0,0,low-risk
39829,30,125,188,343,high-risk
39831,0,0,0,0,low-risk
39834,12,123,160,295,medium-high-risk
39841,16,121,134,271,medium-high-risk
39860,0,0,0,0,low-risk
39877,12,133,222,367,high-risk
39880,0,0,0,0,low-risk
39889,0,0,0,0,low-risk
39893,0,0,0,0,low-risk
39895,0,0,0,0,low-risk
39898,0,0,0,0,low-risk
39906,16,132,222,370,high-risk
39927,17,134,187,338,high-risk
3993,0,0,0,0,low-risk
39936,0,0,0,0,low-risk
39937,35,135,176,346,high-risk
3994,12,104,91,207,medium-low-risk
39945,12,138,229,379,high-risk
39951,0,0,0,0,low-risk
39953,12,194,213,419,high-risk
39956,12,144,166,322,medium-high-risk
39964,0,0,0,0,low-risk
39969,0,0,0,0,low-risk
39970,12,114,131,257,medium-high-risk
39972,0,0,0,0,low-risk
39973,0,0,0,0,low-risk
39978,0,0,0,0,low-risk
39989,25,126,242,393,high-risk
39993,12,146,200,358,high-risk
40007,0,0,0,0,low-risk
40013,0,0,0,0,low-risk
40018,0,0,0,0,low-risk
40036,0,0,0,0,low-risk
40039,0,0,0,0,low-risk
40047,12,153,196,361,high-risk
40048,0,0,0,0,low-risk
40051,14,121,233,368,high-risk
40054,11,121,161,293,medium-high-risk
40061,0,0,0,0,low-risk
40080,12,119,196,327,medium-high-risk
40083,22,122,201,345,high-risk
4009,12,296,194,502,high-risk
40106,14,155,239,408,high-risk
40118,0,0,0,0,low-risk
40131,12,157,186,355,high-risk
40134,0,0,0,0,low-risk
40136,16,106,144,266,medium-high-risk
40137,41,153,214,408,high-risk
40141,12,118,211,341,high-risk
40160,12,129,99,240,medium-low-risk
40172,0,0,0,0,low-risk
4018,12,150,191,353,high-risk
40180,0,0,0,0,low-risk
40186,0,0,0,0,low-risk
40200,0,0,0,0,low-risk
40207,12,92,127,231,medium-low-risk
4021,41,128,179,348,high-risk
40215,0,0,0,0,low-risk
40225,12,124,158,294,medium-high-risk
40232,0,0,0,0,low-risk
40243,21,110,180,311,medium-high-risk
40246,37,169,212,418,high-risk
40249,39,129,166,334,high-risk
40254,12,117,139,268,medium-high-risk
40260,0,0,0,0,low-risk
40271,0,0,0,0,low-risk
40280,0,0,0,0,low-risk
40287,0,0,0,0,low-risk
40288,13,119,137,269,medium-high-risk
40289,24,101,146,271,medium-high-risk
40290,0,0,0,0,low-risk
40295,0,0,0,0,low-risk
40308,31,172,245,448,high-risk
40309,0,0,0,0,low-risk
40318,0,0,0,0,low-risk
40321,32,155,213,400,high-risk
40325,0,0,0,0,low-risk
40331,12,140,186,338,high-risk
40334,0,0,0,0,low-risk
40350,0,0,0,0,low-risk
40354,0,0,0,0,low-risk
40355,0,0,0,0,low-risk
40356,12,82,143,237,medium-low-risk
40361,0,0,0,0,low-risk
40367,12,122,219,353,high-risk
40371,22,107,149,278,medium-high-risk
40372,0,0,0,0,low-risk
40373,18,125,222,365,high-risk
40377,0,0,0,0,low-risk
40382,0,0,0,0,low-risk
40392,13,72,216,301,medium-high-risk
40396,12,104,186,302,medium-high-risk
40405,0,0,0,0,low-risk
40407,12,160,194,366,high-risk
40409,20,139,170,329,medium-high-risk
4044,12,94,112,218,medium-low-risk
40444,21,116,169,306,medium-high-risk
40451,12,126,142,280,medium-high-risk
40454,36,222,222,480,high-risk
40456,12,108,171,291,medium-high-risk
40459,12,160,204,376,high-risk
40461,27,127,159,313,medium-high-risk
4047,13,110,240,363,high-risk
40474,12,114,171,297,medium-high-risk
40482,0,0,0,0,low-risk
40494,13,141,177,331,high-risk
40495,0,0,0,0,low-risk
4051,0,0,0,0,low-risk
40518,0,0,0,0,low-risk
40519,0,0,0,0,low-risk
40521,23,157,171,351,high-risk
40532,50,149,234,433,high-risk
40536,12,149,167,328,medium-high-risk
40538,12,186,305,503,high-risk
40544,0,0,0,0,low-risk
40565,12,109,124,245,medium-high-risk
40576,12,188,233,433,high-risk
40598,12,82,112,206,medium-low-risk
40602,43,135,203,381,high-risk
40610,12,144,163,319,medium-high-risk
40623,0,0,0,0,low-risk
40627,0,0,0,0,low-risk
40629,0,0,0,0,low-risk
40632,0,0,0,0,low-risk
40634,23,116,163,302,medium-high-risk
40636,46,210,374,630,high-risk
40644,42,233,282,557,high-risk
40649,0,0,0,0,low-risk
40665,12,128,162,302,medium-high-risk
40666,0,0,0,0,low-risk
40670,0,0,0,0,low-risk
40671,0,0,0,0,low-risk
40679,12,107,143,262,medium-high-risk
40683,31,127,172,330,high-risk
40695,12,113,137,262,medium-high-risk
40706,13,151,193,357,high-risk
40716,12,160,198,370,high-risk
40728,0,0,0,0,low-risk
40735,12,122,157,291,medium-high-risk
40739,13,130,174,317,medium-high-risk
40745,25,108,157,290,medium-high-risk
40749,0,0,0,0,low-risk
40752,14,82,204,300,medium-high-risk
40765,0,0,0,0,low-risk
40771,26,94,251,371,high-risk
40775,12,124,143,279,medium-high-risk
4081,12,115,185,312,medium-high-risk
40827,18,117,168,303,medium-high-risk
40828,16,124,169,309,medium-high-risk
40829,12,157,202,371,high-risk
4083,12,129,147,288,medium-high-risk
40836,23,140,174,337,high-risk
40837,0,0,0,0,low-risk
